FileName;SamplingFreq;SamplesQty;Replica;TimeTag;Time(ns)
./test/square_50Hz.txt;16384;16384;0;Time_0;4211140518613972
./test/square_50Hz.txt;16384;16384;0;Time_1;4211140521891879
./test/square_50Hz.txt;16384;16384;0;Time_2;4211140535417665
./test/square_50Hz.txt;16384;16384;0;Time_3;4211140545821661
./test/square_50Hz.txt;16384;16384;0;Time_4;4211191354778994
./test/square_50Hz.txt;16384;16384;0;Time_5;4211191355037042
./test/square_50Hz.txt;16384;16384;0;Time_6;4211191624281924
./test/square_50Hz.txt;16384;16384;0;Time_7;4211140546120798
./test/square_50Hz.txt;16384;16384;0;Time_8;4211140546121128
./test/square_50Hz.txt;16384;16384;0;Delta Time_1->2;013525786
./test/square_50Hz.txt;16384;16384;0;Delta Time_0->3;027207689
./test/square_50Hz.txt;16384;16384;0;Delta Time_3->4;50808957333
./test/square_50Hz.txt;16384;16384;0;Delta Time_5->6;269244882
./test/square_50Hz.txt;16384;16384;0;Delta Time_7->10;50808654686
./test/square_50Hz.txt;16384;16384;0;Delta Time_8->9;002568495
./test/square_50Hz.txt;16384;16384;1;Time_0;4211191672902320
./test/square_50Hz.txt;16384;16384;1;Time_1;4211191673869841
./test/square_50Hz.txt;16384;16384;1;Time_2;4211191685634514
./test/square_50Hz.txt;16384;16384;1;Time_3;4211191685695603
./test/square_50Hz.txt;16384;16384;1;Time_4;4211242271943241
./test/square_50Hz.txt;16384;16384;1;Time_5;4211191355037042
./test/square_50Hz.txt;16384;16384;1;Time_6;4211191624281924
./test/square_50Hz.txt;16384;16384;1;Time_7;4211191685720193
./test/square_50Hz.txt;16384;16384;1;Time_8;4211191685720443
./test/square_50Hz.txt;16384;16384;1;Delta Time_1->2;011764673
./test/square_50Hz.txt;16384;16384;1;Delta Time_0->3;012793283
./test/square_50Hz.txt;16384;16384;1;Delta Time_3->4;50586247638
./test/square_50Hz.txt;16384;16384;1;Delta Time_5->6;269244882
./test/square_50Hz.txt;16384;16384;1;Delta Time_7->10;50586219728
./test/square_50Hz.txt;16384;16384;1;Delta Time_8->9;001232058
./test/square_50Hz.txt;16384;16384;2;Time_0;4211242347900196
./test/square_50Hz.txt;16384;16384;2;Time_1;4211242348927406
./test/square_50Hz.txt;16384;16384;2;Time_2;4211242362433251
./test/square_50Hz.txt;16384;16384;2;Time_3;4211242362505701
./test/square_50Hz.txt;16384;16384;2;Time_4;4211294025760657
./test/square_50Hz.txt;16384;16384;2;Time_5;4211191355037042
./test/square_50Hz.txt;16384;16384;2;Time_6;4211191624281924
./test/square_50Hz.txt;16384;16384;2;Time_7;4211242362701829
./test/square_50Hz.txt;16384;16384;2;Time_8;4211242362702249
./test/square_50Hz.txt;16384;16384;2;Delta Time_1->2;013505845
./test/square_50Hz.txt;16384;16384;2;Delta Time_0->3;014605505
./test/square_50Hz.txt;16384;16384;2;Delta Time_3->4;51663254956
./test/square_50Hz.txt;16384;16384;2;Delta Time_5->6;269244882
./test/square_50Hz.txt;16384;16384;2;Delta Time_7->10;51663056018
./test/square_50Hz.txt;16384;16384;2;Delta Time_8->9;001340786
./test/square_50Hz.txt;16384;16384;3;Time_0;4211294100480984
./test/square_50Hz.txt;16384;16384;3;Time_1;4211294102287756
./test/square_50Hz.txt;16384;16384;3;Time_2;4211294115126188
./test/square_50Hz.txt;16384;16384;3;Time_3;4211294115195647
./test/square_50Hz.txt;16384;16384;3;Time_4;4211344871840171
./test/square_50Hz.txt;16384;16384;3;Time_5;4211191355037042
./test/square_50Hz.txt;16384;16384;3;Time_6;4211191624281924
./test/square_50Hz.txt;16384;16384;3;Time_7;4211294115383246
./test/square_50Hz.txt;16384;16384;3;Time_8;4211294115383696
./test/square_50Hz.txt;16384;16384;3;Delta Time_1->2;012838432
./test/square_50Hz.txt;16384;16384;3;Delta Time_0->3;014714663
./test/square_50Hz.txt;16384;16384;3;Delta Time_3->4;50756644524
./test/square_50Hz.txt;16384;16384;3;Delta Time_5->6;269244882
./test/square_50Hz.txt;16384;16384;3;Delta Time_7->10;50756453445
./test/square_50Hz.txt;16384;16384;3;Delta Time_8->9;001308876
./test/square_50Hz.txt;16384;16384;4;Time_0;4211344985798238
./test/square_50Hz.txt;16384;16384;4;Time_1;4211344986805717
./test/square_50Hz.txt;16384;16384;4;Time_2;4211344999053076
./test/square_50Hz.txt;16384;16384;4;Time_3;4211344999108255
./test/square_50Hz.txt;16384;16384;4;Time_4;4211395751636526
./test/square_50Hz.txt;16384;16384;4;Time_5;4211191355037042
./test/square_50Hz.txt;16384;16384;4;Time_6;4211191624281924
./test/square_50Hz.txt;16384;16384;4;Time_7;4211344999282793
./test/square_50Hz.txt;16384;16384;4;Time_8;4211344999283253
./test/square_50Hz.txt;16384;16384;4;Delta Time_1->2;012247359
./test/square_50Hz.txt;16384;16384;4;Delta Time_0->3;013310017
./test/square_50Hz.txt;16384;16384;4;Delta Time_3->4;50752528271
./test/square_50Hz.txt;16384;16384;4;Delta Time_5->6;269244882
./test/square_50Hz.txt;16384;16384;4;Delta Time_7->10;50752350723
./test/square_50Hz.txt;16384;16384;4;Delta Time_8->9;001489206
./test/square_50Hz.txt;16384;16384;5;Time_0;4211395856321402
./test/square_50Hz.txt;16384;16384;5;Time_1;4211395857400061
./test/square_50Hz.txt;16384;16384;5;Time_2;4211395869944587
./test/square_50Hz.txt;16384;16384;5;Time_3;4211395870087015
./test/square_50Hz.txt;16384;16384;5;Time_4;4211446628373392
./test/square_50Hz.txt;16384;16384;5;Time_5;4211191355037042
./test/square_50Hz.txt;16384;16384;5;Time_6;4211191624281924
./test/square_50Hz.txt;16384;16384;5;Time_7;4211395870304633
./test/square_50Hz.txt;16384;16384;5;Time_8;4211395870304943
./test/square_50Hz.txt;16384;16384;5;Delta Time_1->2;012544526
./test/square_50Hz.txt;16384;16384;5;Delta Time_0->3;013765613
./test/square_50Hz.txt;16384;16384;5;Delta Time_3->4;50758286377
./test/square_50Hz.txt;16384;16384;5;Delta Time_5->6;269244882
./test/square_50Hz.txt;16384;16384;5;Delta Time_7->10;50758066009
./test/square_50Hz.txt;16384;16384;5;Delta Time_8->9;001229358
./test/square_50Hz.txt;16384;16384;6;Time_0;4211446713519630
./test/square_50Hz.txt;16384;16384;6;Time_1;4211446714550020
./test/square_50Hz.txt;16384;16384;6;Time_2;4211446726471972
./test/square_50Hz.txt;16384;16384;6;Time_3;4211446726540432
./test/square_50Hz.txt;16384;16384;6;Time_4;4211497537262020
./test/square_50Hz.txt;16384;16384;6;Time_5;4211191355037042
./test/square_50Hz.txt;16384;16384;6;Time_6;4211191624281924
./test/square_50Hz.txt;16384;16384;6;Time_7;4211446726709510
./test/square_50Hz.txt;16384;16384;6;Time_8;4211446726709780
./test/square_50Hz.txt;16384;16384;6;Delta Time_1->2;011921952
./test/square_50Hz.txt;16384;16384;6;Delta Time_0->3;013020802
./test/square_50Hz.txt;16384;16384;6;Delta Time_3->4;50810721588
./test/square_50Hz.txt;16384;16384;6;Delta Time_5->6;269244882
./test/square_50Hz.txt;16384;16384;6;Delta Time_7->10;50810548880
./test/square_50Hz.txt;16384;16384;6;Delta Time_8->9;001224958
./test/square_50Hz.txt;16384;16384;7;Time_0;4211497625489909
./test/square_50Hz.txt;16384;16384;7;Time_1;4211497628444890
./test/square_50Hz.txt;16384;16384;7;Time_2;4211497640250023
./test/square_50Hz.txt;16384;16384;7;Time_3;4211497640316482
./test/square_50Hz.txt;16384;16384;7;Time_4;4211548419563250
./test/square_50Hz.txt;16384;16384;7;Time_5;4211191355037042
./test/square_50Hz.txt;16384;16384;7;Time_6;4211191624281924
./test/square_50Hz.txt;16384;16384;7;Time_7;4211497640343882
./test/square_50Hz.txt;16384;16384;7;Time_8;4211497640344172
./test/square_50Hz.txt;16384;16384;7;Delta Time_1->2;011805133
./test/square_50Hz.txt;16384;16384;7;Delta Time_0->3;014826573
./test/square_50Hz.txt;16384;16384;7;Delta Time_3->4;50779246768
