Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.05517578;1.30419922;0.00519197;0.01533237
2.0;85.13330078;2.60815430;0.00519856;0.03062654
3.0;85.28417969;3.92187500;0.00521083;0.04595359
4.0;85.47499084;5.24926758;0.00522681;0.06133587
5.0;85.72460938;6.58447266;0.00524763;0.07665908
6.0;86.03332520;7.94665527;0.00527341;0.09210583
7.0;86.40316772;9.31390381;0.00530418;0.10738122
8.0;86.83741760;10.70957184;0.00534029;0.12270936
9.0;87.33282471;12.13397217;0.00538158;0.13805559
10.0;87.89282227;13.58697510;0.00542827;0.15337171
11.0;88.52502441;15.07635498;0.00548094;0.16868769
12.0;89.23025513;16.61059570;0.00553974;0.18404764
13.0;90.00854492;18.18716431;0.00560471;0.19937594
14.0;90.87191772;19.81658936;0.00567673;0.21471024
15.0;91.81988525;21.50430298;0.00575589;0.23005459
16.0;92.85942078;23.25708771;0.00584275;0.24540666
17.0;93.99810791;25.07962036;0.00593789;0.26073605
18.0;95.24362183;26.98214722;0.00604198;0.27606255
19.0;96.60314941;28.97698975;0.00615573;0.29141924
20.0;98.08450317;31.06915283;0.00627976;0.30676028
21.0;99.70422363;33.27162170;0.00641535;0.32208341
22.0;101.46878052;35.60198975;0.00656331;0.33744648
23.0;103.39897156;38.07128525;0.00672517;0.35279390
24.0;105.50711060;40.69321442;0.00690202;0.36811110
25.0;107.81611633;43.49579620;0.00709590;0.38345611
26.0;110.35046387;46.49880981;0.00730878;0.39879534
27.0;113.13319397;49.72732544;0.00754270;0.41412705
28.0;116.19840240;53.21923828;0.00780065;0.42948940
29.0;119.58609009;57.00231934;0.00808574;0.44480470
30.0;123.34024048;61.12895203;0.00840194;0.46013138
31.0;127.51980591;65.65859985;0.00875431;0.47548807
32.0;132.18894958;70.64619446;0.00914811;0.49081340
33.0;137.43402100;76.18619537;0.00959096;0.50617486
34.0;143.35952759;82.36997986;0.01009145;0.52151054
35.0;150.09573364;89.33172607;0.01066088;0.53685677
36.0;157.81417847;97.23223877;0.01131366;0.55218714
37.0;166.73645020;106.29133606;0.01206875;0.56752419
38.0;177.14984131;116.79193878;0.01295074;0.58287364
39.0;189.45590210;129.11691284;0.01399353;0.59821147
40.0;204.20335388;143.80299377;0.01524393;0.61354899
41.0;222.17993164;161.62089539;0.01676915;0.62890077
42.0;244.55972290;183.70198059;0.01866877;0.64423919
43.0;273.16262817;211.81842041;0.02109777;0.65957850
44.0;310.96157837;248.86270142;0.02430930;0.67492414
45.0;363.20559692;299.93151855;0.02874991;0.69026989
46.0;440.07330322;374.90682983;0.03528548;0.70560712
47.0;564.22045898;495.81192017;0.04584444;0.72095317
48.0;798.48193359;723.68267822;0.06577342;0.73629761
49.0;1405.50830078;1313.69018555;0.11742307;0.75164437
50.0;6725.25830078;6482.09472656;0.57010448;0.76698899
51.0;-2287.88403320;-2273.90917969;0.19688049;-2.35925794
52.0;-955.09521484;-978.85095215;0.08347227;-2.34391165
53.0;-594.40173340;-628.18872070;0.05278516;-2.32856584
54.0;-426.52569580;-464.85638428;0.03850615;-2.31321955
55.0;-329.49499512;-370.36010742;0.03025606;-2.29786992
56.0;-266.29110718;-308.73065186;0.02488450;-2.28252292
57.0;-221.85923767;-265.34756470;0.02111065;-2.26716995
58.0;-188.92993164;-233.14361572;0.01831568;-2.25182176
59.0;-163.54739380;-208.27824402;0.01616309;-2.23646927
60.0;-143.39300537;-188.49502563;0.01445540;-2.22112656
61.0;-126.99884033;-172.37478638;0.01306805;-2.20576978
62.0;-113.40878296;-158.98422241;0.01191945;-2.19041514
63.0;-101.95915222;-147.67852783;0.01095315;-2.17505884
64.0;-92.18315125;-138.00500488;0.01012947;-2.15970039
65.0;-83.73677826;-129.62335205;0.00941883;-2.14435506
66.0;-76.36988831;-122.29878998;0.00880036;-2.12900233
67.0;-69.88325500;-115.83592224;0.00825705;-2.11363530
68.0;-64.12989807;-110.08892822;0.00777623;-2.09826970
69.0;-58.99321747;-104.94387817;0.00734794;-2.08291268
70.0;-54.37644958;-100.30931091;0.00696410;-2.06754470
71.0;-50.20436096;-96.10930634;0.00661816;-2.05217719
72.0;-46.41655350;-92.28600311;0.00630502;-2.03681254
73.0;-42.95967865;-88.78597260;0.00602008;-2.02144599
74.0;-39.79174805;-85.56966400;0.00575984;-2.00607181
75.0;-36.87823486;-82.60044861;0.00552118;-1.99070692
76.0;-34.18644714;-79.85116577;0.00530161;-1.97531271
77.0;-31.69274902;-77.29249573;0.00509874;-1.95992482
78.0;-29.37510681;-74.90293121;0.00491071;-1.94453943
79.0;-27.21488953;-72.66387177;0.00473591;-1.92915595
80.0;-25.19348907;-70.55758667;0.00457279;-1.91374922
81.0;-23.29927826;-68.56848145;0.00442010;-1.89835179
82.0;-21.51756287;-66.68164825;0.00427658;-1.88293839
83.0;-19.83606720;-64.88521576;0.00414121;-1.86748350
84.0;-18.25075912;-63.16253662;0.00401284;-1.85208416
85.0;-16.74737549;-61.50431824;0.00389060;-1.83664680
86.0;-15.31945801;-59.89859009;0.00377360;-1.82118559
87.0;-13.95996094;-58.32780457;0.00366059;-1.80571365
88.0;-12.66080475;-56.77958679;0.00355066;-1.79018879
89.0;-11.41818428;-55.23055267;0.00344229;-1.77466106
90.0;-10.22432709;-53.66287994;0.00333424;-1.75906861
91.0;-9.07450104;-52.04206848;0.00322432;-1.74342930
92.0;-7.96315956;-50.32679749;0.00310992;-1.72772431
93.0;-6.88556671;-48.45379639;0.00298710;-1.71195698
94.0;-5.82383728;-46.32701874;0.00284983;-1.69585180
95.0;-4.77720642;-43.77227020;0.00268751;-1.67950380
