Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.05957031;1.30682945;0.00519224;0.01536249
2.0;85.13452148;2.60883331;0.00519864;0.03063407
3.0;85.28588867;3.92232132;0.00521094;0.04595789
4.0;85.46875000;5.25347137;0.00522644;0.06138934
5.0;85.72607422;6.58471680;0.00524772;0.07666060
6.0;86.03564453;7.94168854;0.00527352;0.09204612
7.0;86.40600586;9.30970764;0.00530433;0.10732971
8.0;86.83508301;10.70668030;0.00534013;0.12267983
9.0;87.33618164;12.12745667;0.00538172;0.13797717
10.0;87.89862061;13.58514023;0.00542860;0.15334137
11.0;88.52374268;15.07525253;0.00548085;0.16867797
12.0;89.23004150;16.60884476;0.00553971;0.18402910
13.0;90.00935364;18.19221497;0.00560482;0.19942811
14.0;90.87611389;19.81934547;0.00567702;0.21472958
15.0;91.82168579;21.50767517;0.00575604;0.23008505
16.0;92.85974121;23.25757217;0.00584277;0.24541076
17.0;94.00134277;25.07883453;0.00593807;0.26071969
18.0;95.24157715;26.98358917;0.00604189;0.27608222
19.0;96.60388184;28.97853088;0.00615580;0.29143178
20.0;98.08471680;31.07085419;0.00627981;0.30677542
21.0;99.70574951;33.27188873;0.00641545;0.32208124
22.0;101.47003174;35.60106659;0.00656337;0.33743453
23.0;103.39733887;38.07105255;0.00672507;0.35279703
24.0;105.50662231;40.69326019;0.00690199;0.36811301
25.0;107.81753540;43.49438858;0.00709595;0.38344032
26.0;110.35047150;46.49961853;0.00730880;0.39880154
27.0;113.13420105;49.72944641;0.00754281;0.41413948
28.0;116.19903564;53.21565247;0.00780060;0.42946184
29.0;119.58547974;57.00190735;0.00808570;0.44480386
30.0;123.33964539;61.13175201;0.00840199;0.46015152
31.0;127.51943970;65.65611267;0.00875422;0.47547382
32.0;132.18870544;70.64672852;0.00914811;0.49081734
33.0;137.43423462;76.18448639;0.00959092;0.50616467
34.0;143.35916138;82.37128448;0.01009147;0.52151847
35.0;150.09600830;89.33045197;0.01066086;0.53684968
36.0;157.81484985;97.23257446;0.01131370;0.55218679
37.0;166.73519897;106.29132080;0.01206869;0.56752753
38.0;177.15109253;116.79249573;0.01295082;0.58287257
39.0;189.45645142;129.11737061;0.01399357;0.59821177
40.0;204.20382690;143.80279541;0.01524394;0.61354727
41.0;222.17936707;161.62100220;0.01676913;0.62890226
42.0;244.56076050;183.70223999;0.01866882;0.64423782
43.0;273.16195679;211.81829834;0.02109773;0.65957940
44.0;310.96331787;248.86230469;0.02430936;0.67492062
45.0;363.20770264;299.93072510;0.02874997;0.69026572
46.0;440.07067871;374.90817261;0.03528541;0.70561182
47.0;564.22021484;495.81195068;0.04584443;0.72095340
48.0;798.48394775;723.68536377;0.06577362;0.73629820
49.0;1405.51086426;1313.68823242;0.11742310;0.75164270
50.0;6725.25976562;6482.09375000;0.57010448;0.76698881
51.0;-2287.88427734;-2273.90625000;0.19688039;-2.35925865
52.0;-955.09478760;-978.84783936;0.08347211;-2.34391284
53.0;-594.39892578;-628.18786621;0.05278501;-2.32856417
54.0;-426.52481079;-464.85839844;0.03850621;-2.31321645
55.0;-329.49270630;-370.35861206;0.03025589;-2.29786849
56.0;-266.29183960;-308.73031616;0.02488452;-2.28252482
57.0;-221.85879517;-265.34753418;0.02111063;-2.26716900
58.0;-188.92900085;-233.14251709;0.01831559;-2.25182152
59.0;-163.54650879;-208.27651978;0.01616298;-2.23647070
60.0;-143.39166260;-188.49752808;0.01445548;-2.22111559
61.0;-126.99889374;-172.37579346;0.01306810;-2.20576715
62.0;-113.40914917;-158.98489380;0.01191950;-2.19041467
63.0;-101.95923615;-147.67727661;0.01095309;-2.17506337
64.0;-92.18322754;-138.00408936;0.01012942;-2.15970397
65.0;-83.73632812;-129.62487793;0.00941889;-2.14434719
66.0;-76.36929321;-122.29850769;0.00880033;-2.12899995
67.0;-69.88309479;-115.83515167;0.00825701;-2.11363721
68.0;-64.13000488;-110.08923340;0.00777625;-2.09826922
69.0;-58.99382019;-104.94509888;0.00734802;-2.08291221
70.0;-54.37648010;-100.30925751;0.00696409;-2.06754494
71.0;-50.20456696;-96.10968018;0.00661818;-2.05217743
72.0;-46.41660690;-92.28604889;0.00630503;-2.03681278
73.0;-42.95886993;-88.78549194;0.00602004;-2.02144074
74.0;-39.79150772;-85.56936646;0.00575982;-2.00607085
75.0;-36.87736511;-82.60063171;0.00552117;-1.99069726
76.0;-34.18592072;-79.85116577;0.00530159;-1.97530711
77.0;-31.69259071;-77.29231262;0.00509873;-1.95992398
78.0;-29.37504578;-74.90348816;0.00491074;-1.94453621
79.0;-27.21456909;-72.66439056;0.00473593;-1.92914975
80.0;-25.19316101;-70.55790710;0.00457280;-1.91374373
81.0;-23.29945374;-68.56928253;0.00442015;-1.89835048
82.0;-21.51680565;-66.68182373;0.00427657;-1.88292730
83.0;-19.83679199;-64.88471985;0.00414119;-1.86749589
84.0;-18.25073242;-63.16345215;0.00401290;-1.85207987
85.0;-16.74757385;-61.50480652;0.00389064;-1.83664787
86.0;-15.31839943;-59.89811707;0.00377355;-1.82117081
87.0;-13.95925140;-58.32793808;0.00366059;-1.80570161
88.0;-12.66078949;-56.77876282;0.00355061;-1.79019165
89.0;-11.41845322;-55.23061371;0.00344230;-1.77466547
90.0;-10.22402573;-53.66327286;0.00333426;-1.75906193
91.0;-9.07431984;-52.04220963;0.00322433;-1.74342537
92.0;-7.96298981;-50.32709885;0.00310993;-1.72772014
93.0;-6.88595963;-48.45325470;0.00298707;-1.71196651
94.0;-5.82342148;-46.32662201;0.00284980;-1.69584405
95.0;-4.77698803;-43.77277374;0.00268754;-1.67949760
96.0;-3.72409058;-40.47488403;0.00248083;-1.66254795
97.0;-2.62910414;-35.76142883;0.00218860;-1.64418221
98.0;-1.40633392;-27.88975143;0.00170442;-1.62117839
99.0;0.25257111;-10.52923584;0.00064284;-1.54681337
100.0;5.02445984;71.79762268;0.00439290;1.50092936
101.0;-6.49056244;-183.27165222;0.01119303;-1.60619652
102.0;-1.41839600;-94.04444885;0.00574067;-1.58587742
103.0;0.19368076;-76.26663208;0.00465496;-1.56825686
104.0;1.31524658;-68.45912170;0.00417918;-1.55158651
105.0;2.26564598;-63.97077179;0.00390691;-1.53539419
106.0;3.13479614;-61.00354767;0.00372827;-1.51945436
107.0;3.95831871;-58.86968994;0.00360123;-1.50365877
108.0;4.75205421;-57.24765778;0.00350614;-1.48797750
109.0;5.52725601;-55.96633911;0.00343253;-1.47235513
110.0;6.28970337;-54.92796326;0.00337444;-1.45678473
111.0;7.04484558;-54.07497025;0.00332837;-1.44124675
112.0;7.79479790;-53.36462402;0.00329168;-1.42575526
113.0;8.54187393;-52.77215576;0.00326288;-1.41032481
114.0;9.29679489;-52.28007507;0.00324098;-1.39480925
115.0;10.05415344;-51.87550354;0.00322515;-1.37935674
116.0;10.81725121;-51.54848480;0.00321480;-1.36395144
117.0;11.59477139;-51.29470825;0.00320977;-1.34849012
118.0;12.38418770;-51.10926056;0.00320973;-1.33307016
119.0;13.18985748;-50.98830414;0.00321452;-1.31766140
120.0;14.01739216;-50.93222809;0.00322424;-1.30222881
121.0;14.86622238;-50.93970490;0.00323881;-1.28684282
122.0;15.74443817;-51.01260757;0.00325848;-1.27143359
123.0;16.65420532;-51.15400696;0.00328350;-1.25604904
124.0;17.60194397;-51.36401367;0.00331398;-1.24064839
125.0;18.59151459;-51.64634705;0.00335026;-1.22526085
126.0;19.63205147;-52.01113510;0.00339312;-1.20987189
127.0;20.73014832;-52.46257019;0.00344298;-1.19448519
128.0;21.89564133;-53.00590515;0.00350038;-1.17906582
129.0;23.13286018;-53.65204620;0.00356608;-1.16371584
130.0;24.46172905;-54.41629028;0.00364146;-1.14833367
131.0;25.89417267;-55.31158447;0.00372758;-1.13295102
132.0;27.44853973;-56.35621643;0.00382601;-1.11755884
133.0;29.14564514;-57.57309723;0.00393860;-1.10217142
134.0;31.01062202;-58.99063110;0.00406769;-1.08681071
135.0;33.08106232;-60.64432526;0.00421633;-1.07141984
136.0;35.39573669;-62.57908630;0.00438817;-1.05604291
137.0;38.01215363;-64.85523987;0.00458826;-1.04065442
138.0;41.00002289;-67.55077362;0.00482298;-1.02528131
139.0;44.45751190;-70.76782227;0.00510093;-1.00988734
140.0;48.51380920;-74.65157318;0.00543400;-0.99451256
141.0;53.35517502;-79.40198517;0.00583882;-0.97913617
142.0;59.25494385;-85.31596375;0.00634001;-0.96374738
143.0;66.63504791;-92.83163452;0.00697457;-0.94822013
144.0;76.09962463;-102.67475128;0.00780039;-0.93296927
145.0;88.79249573;-116.03102875;0.00891767;-0.91760778
146.0;106.73216248;-135.11166382;0.01050920;-0.90221035
147.0;134.07963562;-164.46530151;0.01295128;-0.88682806
148.0;181.02345276;-215.19949341;0.01716383;-0.87143975
149.0;280.72277832;-323.48175049;0.02614170;-0.85604942
150.0;637.92987061;-712.64221191;0.05837762;-0.84066087
151.0;-2150.66943359;2329.39257812;0.19350599;2.31632257
152.0;-393.58377075;413.33969116;0.03483594;2.33171630
153.0;-214.34173584;218.27169800;0.01867166;2.34711051
154.0;-146.09118652;144.25720215;0.01253121;2.36251092
155.0;-110.05882263;105.38069153;0.00930021;2.37790537
156.0;-87.75612640;81.47257996;0.00730867;2.39330792
157.0;-72.56703949;65.31929016;0.00595916;2.40870929
158.0;-61.54113007;53.70135498;0.00498517;2.42411828
159.0;-53.15997314;44.96335983;0.00424959;2.43953490
160.0;-46.56306076;38.16937256;0.00367481;2.45493340
161.0;-41.22941589;32.74496460;0.00321354;2.47038984
162.0;-36.82031631;28.32980347;0.00283555;2.48578644
163.0;-33.10716248;24.67119217;0.00252006;2.50117588
164.0;-29.93650436;21.59819794;0.00225308;2.51660419
165.0;-27.19400024;18.98707581;0.00202433;2.53207016
166.0;-24.78584290;16.73876953;0.00182548;2.54761219
167.0;-22.66641235;14.80737686;0.00165249;2.56291938
168.0;-20.77388000;13.11830521;0.00149958;2.57834649
169.0;-19.07291603;11.63583374;0.00136365;2.59380078
170.0;-17.53690529;10.33099174;0.00124229;2.60922647
171.0;-16.13829041;9.17237854;0.00113298;2.62476182
172.0;-14.85816956;8.14305496;0.00103414;2.64024591
173.0;-13.68130493;7.23470306;0.00094460;2.65516973
174.0;-12.59372807;6.40432739;0.00086234;2.67114186
175.0;-11.58554077;5.66719055;0.00078719;2.68665409
176.0;-10.64545441;5.00422287;0.00071796;2.70216560
177.0;-9.76843071;4.40563202;0.00065405;2.71790147
178.0;-8.94426727;3.86934662;0.00059481;2.73329711
179.0;-8.16976547;3.38365674;0.00053972;2.74893236
180.0;-7.43980551;2.94207382;0.00048831;2.76501441
181.0;-6.74876022;2.55186653;0.00044038;2.78008628
182.0;-6.09265518;2.19542027;0.00039527;2.79573703
183.0;-5.46787643;1.87302780;0.00035277;2.81156898
184.0;-4.87470818;1.58514929;0.00031286;2.82719946
185.0;-4.31041908;1.32535934;0.00027524;2.84328938
186.0;-3.77041435;1.09631157;0.00023966;2.85862803
187.0;-3.25439072;0.88874054;0.00020591;2.87500334
188.0;-2.76148605;0.70668411;0.00017398;2.89106202
189.0;-2.29323769;0.54771423;0.00014390;2.90714598
190.0;-1.84386063;0.40941620;0.00011528;2.92309451
191.0;-1.41852188;0.29112053;0.00008838;2.93917513
192.0;-1.01782227;0.18992615;0.00006320;2.95711374
193.0;-0.63975644;0.10908508;0.00003961;2.97270656
194.0;-0.30773163;0.04531956;0.00001899;2.99537396
195.0;-0.01109028;0.00324440;0.00000071;2.85698962
196.0;0.21233940;-0.02533150;0.00001305;-0.11873605
197.0;0.33840370;-0.02122808;0.00002070;-0.06264795
198.0;0.25512648;0.01378632;0.00001559;0.05398468
199.0;-0.32556152;0.10626221;0.00002090;2.82609797
200.0;-2.84418488;0.40160370;0.00017532;3.00131822
201.0;-196.27798462;19.16057968;0.01203680;3.04428148
202.0;10.23791981;-0.72580719;0.00062644;-0.07077560
203.0;7.43166351;-0.36573792;0.00045414;-0.04917379
204.0;6.78595352;-0.20413208;0.00041437;-0.03007249
205.0;6.66969872;-0.08082581;0.00040712;-0.01211777
206.0;6.76575089;0.03442383;0.00041295;0.00508791
207.0;6.96367693;0.15309715;0.00042513;0.02198156
208.0;7.22917080;0.27914238;0.00044156;0.03859416
209.0;7.53382397;0.41459274;0.00046052;0.05497540
210.0;7.86852121;0.56011486;0.00048147;0.07106439
211.0;8.22479248;0.71593475;0.00050390;0.08682708
212.0;8.60433578;0.89201546;0.00052798;0.10330144
213.0;8.99818039;1.07288361;0.00055310;0.11867314
214.0;9.40786457;1.27596664;0.00057947;0.13480510
215.0;9.83786774;1.49046516;0.00060731;0.15035942
216.0;10.28111649;1.72250843;0.00063626;0.16599925
217.0;10.74645233;1.97474670;0.00066689;0.18173061
218.0;11.22896194;2.24484253;0.00069892;0.19731422
219.0;11.73581314;2.52914143;0.00073274;0.21226002
220.0;12.25582314;2.85079956;0.00076801;0.22854371
221.0;12.80631638;3.19043446;0.00080553;0.24415945
222.0;13.38193417;3.55545807;0.00084511;0.25969118
223.0;13.98847008;3.94910049;0.00088716;0.27515051
224.0;14.62857819;4.37614822;0.00093195;0.29067737
225.0;15.30159378;4.84532738;0.00097964;0.30666578
226.0;16.02324295;5.33957291;0.00103085;0.32166585
227.0;16.78833008;5.88681793;0.00108585;0.33725324
228.0;17.60830688;6.48151970;0.00114522;0.35270277
229.0;18.48886299;7.13351440;0.00120955;0.36822945
230.0;19.43935204;7.84749603;0.00127952;0.38368443
231.0;20.47030449;8.63468933;0.00135601;0.39917016
232.0;21.59504890;9.50700951;0.00144013;0.41470814
233.0;22.82247925;10.48353195;0.00153291;0.43060309
234.0;24.19076538;11.55559349;0.00163629;0.44563770
235.0;25.70520973;12.77067566;0.00175188;0.46109456
236.0;27.40062332;14.14707088;0.00188215;0.47660613
237.0;29.31807327;15.71425247;0.00203027;0.49202493
238.0;31.50715256;17.52100754;0.00220039;0.50751156
239.0;34.03216553;19.62237549;0.00239770;0.52302331
240.0;36.93515396;22.05295181;0.00262560;0.53826392
241.0;40.49314880;25.04748917;0.00290611;0.55395573
242.0;44.73170853;28.63185120;0.00324160;0.56936961
243.0;49.96536636;33.08450699;0.00365759;0.58486831
244.0;56.61351776;38.75744629;0.00418758;0.60031343
245.0;65.33665466;46.23077393;0.00488516;0.61579370
246.0;77.32359314;56.52889252;0.00584615;0.63127488
247.0;94.85316467;71.62081909;0.00725437;0.64673829
248.0;122.98734283;95.88865662;0.00951846;0.66221660
249.0;175.62457275;141.35205078;0.01375993;0.67769337
250.0;309.83312988;257.37243652;0.02458415;0.69317079
251.0;1374.21997070;1177.97741699;0.11047382;0.70865756
252.0;-552.43536377;-488.58789062;0.04501329;-2.41744924
253.0;-227.76565552;-207.81536865;0.01881868;-2.40196395
254.0;-142.48921204;-134.11331177;0.01194319;-2.38646650
255.0;-103.11541748;-100.11169434;0.00877191;-2.37097359
256.0;-80.41435242;-80.53148651;0.00694616;-2.35546660
257.0;-65.63265228;-67.79594421;0.00575932;-2.33998275
258.0;-55.23125839;-58.84954071;0.00492602;-2.32448816
259.0;-47.49994659;-52.21567535;0.00430837;-2.30893803
260.0;-41.52398682;-47.09439468;0.00383217;-2.29341865
261.0;-36.76062012;-43.02316284;0.00345393;-2.27786112
262.0;-32.86926651;-39.70049286;0.00314584;-2.26233792
263.0;-29.62855530;-36.94013214;0.00289027;-2.24679780
264.0;-26.88352394;-34.60869980;0.00267476;-2.23122072
265.0;-24.52374649;-32.60612488;0.00249018;-2.21565342
266.0;-22.47329330;-30.87222290;0.00233067;-2.20003247
267.0;-20.67376900;-29.34797859;0.00219108;-2.18449330
268.0;-19.07554626;-27.99873352;0.00206783;-2.16886163
269.0;-17.64925575;-26.79540634;0.00195835;-2.15324044
270.0;-16.36613846;-25.70829201;0.00186009;-2.13770032
271.0;-15.20076752;-24.72729874;0.00177160;-2.12198091
272.0;-14.13836670;-23.83087540;0.00169124;-2.10625958
273.0;-13.16522026;-23.00588989;0.00161783;-2.09056473
274.0;-12.27054977;-22.24464417;0.00155057;-2.07488108
275.0;-11.44104099;-21.53663445;0.00148846;-2.05911946
276.0;-10.66940212;-20.87264442;0.00143076;-2.04333735
277.0;-9.94919395;-20.24692345;0.00137691;-2.02753448
278.0;-9.27300453;-19.65688133;0.00132656;-2.01158428
279.0;-8.65373802;-19.09912682;0.00127980;-1.99622190
280.0;-8.03711319;-18.54719353;0.00123375;-1.97970402
281.0;-7.46767807;-18.02398109;0.00119078;-1.96358538
282.0;-6.92621994;-17.51057434;0.00114933;-1.94745624
283.0;-6.41063499;-17.00586700;0.00110926;-1.93128955
284.0;-5.91345549;-16.50392532;0.00107003;-1.91485143
285.0;-5.43675327;-15.99903297;0.00103134;-1.89837134
286.0;-4.96820402;-15.47259903;0.00099186;-1.88149405
287.0;-4.52656746;-14.95620441;0.00095375;-1.86468697
288.0;-4.08992338;-14.40379906;0.00091389;-1.84746182
289.0;-3.65932465;-13.81436729;0.00087224;-1.82974172
290.0;-3.23382378;-13.17667389;0.00082811;-1.81146014
291.0;-2.80934095;-12.46301651;0.00077977;-1.79250503
292.0;-2.37970734;-11.66631699;0.00072672;-1.77201688
293.0;-1.94014072;-10.72830772;0.00066543;-1.74970579
294.0;-1.48015404;-9.60389709;0.00059310;-1.72371328
295.0;-0.98450279;-8.18903351;0.00050342;-1.69044423
296.0;-0.43088150;-6.33182335;0.00038736;-1.63874173
297.0;0.22369576;-3.71836472;0.00022736;-1.51070905
298.0;1.07957554;0.28355980;0.00006813;0.25685671
299.0;2.37664390;7.33160973;0.00047041;1.25732076
300.0;4.96585846;23.34833717;0.00145694;1.36123323
301.0;16.04507828;97.66775513;0.00604107;1.40796852
302.0;-20.48288155;-155.04241943;0.00954526;-1.70214713
303.0;-6.39909363;-60.04280090;0.00368548;-1.67697108
304.0;-3.58032990;-42.41658020;0.00259811;-1.65500546
305.0;-2.24926519;-34.97243881;0.00213896;-1.63502324
306.0;-1.39154768;-30.84290695;0.00188442;-1.61588299
307.0;-0.76166534;-28.23288727;0.00172383;-1.59776771
308.0;-0.24809933;-26.42511749;0.00161293;-1.58018482
309.0;0.19834375;-25.10334778;0.00153223;-1.56289542
310.0;0.59930426;-24.09524155;0.00147111;-1.54592919
311.0;0.96761703;-23.31383133;0.00142419;-1.52931619
312.0;1.31761360;-22.68421936;0.00138687;-1.51277649
313.0;1.65294838;-22.17774010;0.00135738;-1.49640203
314.0;1.97879028;-21.76616669;0.00133398;-1.48013425
315.0;2.29668236;-21.42966461;0.00131545;-1.46403086
316.0;2.61273956;-21.15806961;0.00130120;-1.44793165
317.0;2.92637253;-20.93498611;0.00129019;-1.43191242
318.0;3.23901367;-20.76372719;0.00128264;-1.41604960
