FileName;SamplingFreq;SamplesQty;Replica;TimeTag;Time(ns)
./test/square_50Hz.txt;16384;16384;0;Time_0;26001714579871175
./test/square_50Hz.txt;16384;16384;0;Time_1;26001714582705818
./test/square_50Hz.txt;16384;16384;0;Time_2;26001714594481376
./test/square_50Hz.txt;16384;16384;0;Time_3;26001714638439388
./test/square_50Hz.txt;16384;16384;0;Time_4;26001749274443791
./test/square_50Hz.txt;16384;16384;0;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;0;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;0;Time_7;26001714638472868
./test/square_50Hz.txt;16384;16384;0;Time_8;26001714638473138
./test/square_50Hz.txt;16384;16384;0;Delta Time_1->2;011775558
./test/square_50Hz.txt;16384;16384;0;Delta Time_0->3;058568213
./test/square_50Hz.txt;16384;16384;0;Delta Time_3->4;34636004403
./test/square_50Hz.txt;16384;16384;0;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;0;Delta Time_7->10;31628755324
./test/square_50Hz.txt;16384;16384;0;Delta Time_8->9;002774903
./test/square_50Hz.txt;16384;16384;1;Time_0;26001749658743049
./test/square_50Hz.txt;16384;16384;1;Time_1;26001749660208225
./test/square_50Hz.txt;16384;16384;1;Time_2;26001749672143622
./test/square_50Hz.txt;16384;16384;1;Time_3;26001749736141724
./test/square_50Hz.txt;16384;16384;1;Time_4;26001784361602097
./test/square_50Hz.txt;16384;16384;1;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;1;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;1;Time_7;26001749736314452
./test/square_50Hz.txt;16384;16384;1;Time_8;26001749736314702
./test/square_50Hz.txt;16384;16384;1;Delta Time_1->2;011935397
./test/square_50Hz.txt;16384;16384;1;Delta Time_0->3;077398675
./test/square_50Hz.txt;16384;16384;1;Delta Time_3->4;34625460373
./test/square_50Hz.txt;16384;16384;1;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;1;Delta Time_7->10;31627777803
./test/square_50Hz.txt;16384;16384;1;Delta Time_8->9;002716114
./test/square_50Hz.txt;16384;16384;2;Time_0;26001784425644028
./test/square_50Hz.txt;16384;16384;2;Time_1;26001784427823248
./test/square_50Hz.txt;16384;16384;2;Time_2;26001784439690595
./test/square_50Hz.txt;16384;16384;2;Time_3;26001784481659196
./test/square_50Hz.txt;16384;16384;2;Time_4;26001819162136207
./test/square_50Hz.txt;16384;16384;2;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;2;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;2;Time_7;26001784481839734
./test/square_50Hz.txt;16384;16384;2;Time_8;26001784481840054
./test/square_50Hz.txt;16384;16384;2;Delta Time_1->2;011867347
./test/square_50Hz.txt;16384;16384;2;Delta Time_0->3;056015168
./test/square_50Hz.txt;16384;16384;2;Delta Time_3->4;34680477011
./test/square_50Hz.txt;16384;16384;2;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;2;Delta Time_7->10;31632818596
./test/square_50Hz.txt;16384;16384;2;Delta Time_8->9;002716645
./test/square_50Hz.txt;16384;16384;3;Time_0;26001819287827792
./test/square_50Hz.txt;16384;16384;3;Time_1;26001819294508659
./test/square_50Hz.txt;16384;16384;3;Time_2;26001819306405556
./test/square_50Hz.txt;16384;16384;3;Time_3;26001819349563535
./test/square_50Hz.txt;16384;16384;3;Time_4;26001854016604124
./test/square_50Hz.txt;16384;16384;3;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;3;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;3;Time_7;26001819349759994
./test/square_50Hz.txt;16384;16384;3;Time_8;26001819349760244
./test/square_50Hz.txt;16384;16384;3;Delta Time_1->2;011896897
./test/square_50Hz.txt;16384;16384;3;Delta Time_0->3;061735743
./test/square_50Hz.txt;16384;16384;3;Delta Time_3->4;34667040589
./test/square_50Hz.txt;16384;16384;3;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;3;Delta Time_7->10;31628562495
./test/square_50Hz.txt;16384;16384;3;Delta Time_8->9;002732494
./test/square_50Hz.txt;16384;16384;4;Time_0;26001854083661287
./test/square_50Hz.txt;16384;16384;4;Time_1;26001854085790556
./test/square_50Hz.txt;16384;16384;4;Time_2;26001854097629244
./test/square_50Hz.txt;16384;16384;4;Time_3;26001854141612816
./test/square_50Hz.txt;16384;16384;4;Time_4;26001888518922698
./test/square_50Hz.txt;16384;16384;4;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;4;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;4;Time_7;26001854141803324
./test/square_50Hz.txt;16384;16384;4;Time_8;26001854141803774
./test/square_50Hz.txt;16384;16384;4;Delta Time_1->2;011838688
./test/square_50Hz.txt;16384;16384;4;Delta Time_0->3;057951529
./test/square_50Hz.txt;16384;16384;4;Delta Time_3->4;34377309882
./test/square_50Hz.txt;16384;16384;4;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;4;Delta Time_7->10;31633047523
./test/square_50Hz.txt;16384;16384;4;Delta Time_8->9;002770544
./test/square_50Hz.txt;16384;16384;5;Time_0;26001888642568003
./test/square_50Hz.txt;16384;16384;5;Time_1;26001888644350336
./test/square_50Hz.txt;16384;16384;5;Time_2;26001888656150774
./test/square_50Hz.txt;16384;16384;5;Time_3;26001888698437862
./test/square_50Hz.txt;16384;16384;5;Time_4;26001923296713954
./test/square_50Hz.txt;16384;16384;5;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;5;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;5;Time_7;26001888698477971
./test/square_50Hz.txt;16384;16384;5;Time_8;26001888698478531
./test/square_50Hz.txt;16384;16384;5;Delta Time_1->2;011800438
./test/square_50Hz.txt;16384;16384;5;Delta Time_0->3;055869859
./test/square_50Hz.txt;16384;16384;5;Delta Time_3->4;34598276092
./test/square_50Hz.txt;16384;16384;5;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;5;Delta Time_7->10;31631316900
./test/square_50Hz.txt;16384;16384;5;Delta Time_8->9;002724344
./test/square_50Hz.txt;16384;16384;6;Time_0;26001923395183858
./test/square_50Hz.txt;16384;16384;6;Time_1;26001923402059742
./test/square_50Hz.txt;16384;16384;6;Time_2;26001923413814701
./test/square_50Hz.txt;16384;16384;6;Time_3;26001923455062829
./test/square_50Hz.txt;16384;16384;6;Time_4;26001956537277909
./test/square_50Hz.txt;16384;16384;6;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;6;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;6;Time_7;26001923455255637
./test/square_50Hz.txt;16384;16384;6;Time_8;26001923455255927
./test/square_50Hz.txt;16384;16384;6;Delta Time_1->2;011754959
./test/square_50Hz.txt;16384;16384;6;Delta Time_0->3;059878971
./test/square_50Hz.txt;16384;16384;6;Delta Time_3->4;33082215080
./test/square_50Hz.txt;16384;16384;6;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;6;Delta Time_7->10;32977328747
./test/square_50Hz.txt;16384;16384;6;Delta Time_8->9;002707394
./test/square_50Hz.txt;16384;16384;7;Time_0;26001956624332412
./test/square_50Hz.txt;16384;16384;7;Time_1;26001956625344372
./test/square_50Hz.txt;16384;16384;7;Time_2;26001956644564730
./test/square_50Hz.txt;16384;16384;7;Time_3;26001956682820926
./test/square_50Hz.txt;16384;16384;7;Time_4;26001990590599020
./test/square_50Hz.txt;16384;16384;7;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;7;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;7;Time_7;26001956683037284
./test/square_50Hz.txt;16384;16384;7;Time_8;26001956683037654
./test/square_50Hz.txt;16384;16384;7;Delta Time_1->2;019220358
./test/square_50Hz.txt;16384;16384;7;Delta Time_0->3;058488514
./test/square_50Hz.txt;16384;16384;7;Delta Time_3->4;33907778094
./test/square_50Hz.txt;16384;16384;7;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;7;Delta Time_7->10;33907496787
./test/square_50Hz.txt;16384;16384;7;Delta Time_8->9;002792173
./test/square_50Hz.txt;16384;16384;8;Time_0;26001990718544304
./test/square_50Hz.txt;16384;16384;8;Time_1;26001990719689243
./test/square_50Hz.txt;16384;16384;8;Time_2;26001990731617290
./test/square_50Hz.txt;16384;16384;8;Time_3;26001990768457640
./test/square_50Hz.txt;16384;16384;8;Time_4;26002024666616226
./test/square_50Hz.txt;16384;16384;8;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;8;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;8;Time_7;26001990768721427
./test/square_50Hz.txt;16384;16384;8;Time_8;26001990768721827
./test/square_50Hz.txt;16384;16384;8;Delta Time_1->2;011928047
./test/square_50Hz.txt;16384;16384;8;Delta Time_0->3;049913336
./test/square_50Hz.txt;16384;16384;8;Delta Time_3->4;33898158586
./test/square_50Hz.txt;16384;16384;8;Delta Time_5->6;215552512
./test/square_50Hz.txt;16384;16384;8;Delta Time_7->10;33670450090
./test/square_50Hz.txt;16384;16384;8;Delta Time_8->9;003102071
./test/square_50Hz.txt;16384;16384;9;Time_0;26002024800267145
./test/square_50Hz.txt;16384;16384;9;Time_1;26002024824146079
./test/square_50Hz.txt;16384;16384;9;Time_2;26002024837498782
./test/square_50Hz.txt;16384;16384;9;Time_3;26002024877451772
./test/square_50Hz.txt;16384;16384;9;Time_4;26002058789391811
./test/square_50Hz.txt;16384;16384;9;Time_5;26001749274543260
./test/square_50Hz.txt;16384;16384;9;Time_6;26001749490095772
./test/square_50Hz.txt;16384;16384;9;Time_7;26002024877639120
./test/square_50Hz.txt;16384;16384;9;Time_8;26002024877639340
./test/square_50Hz.txt;16384;16384;9;Delta Time_1->2;013352703
