Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.05322266;1.30761719;0.00519185;0.01537289
2.0;85.13208008;2.60498047;0.00519848;0.03058974
3.0;85.28082275;3.91734123;0.00521062;0.04590234
4.0;85.47314453;5.25512695;0.00522672;0.06140549
5.0;85.72766113;6.58764648;0.00524783;0.07669316
6.0;86.03382874;7.94100380;0.00527341;0.09204016
7.0;86.40600586;9.31359863;0.00530435;0.10737423
8.0;86.83569336;10.71050262;0.00534019;0.12272234
9.0;87.33463287;12.13654041;0.00538171;0.13808163
10.0;87.89752197;13.58923340;0.00542858;0.15338874
11.0;88.52490234;15.07934570;0.00548096;0.16872074
12.0;89.22930145;16.61082840;0.00553969;0.18405208
13.0;90.01330566;18.19146729;0.00560505;0.19941160
14.0;90.87442017;19.81738281;0.00567689;0.21471284
15.0;91.82132721;21.50469589;0.00575598;0.23005515
16.0;92.85961914;23.25781250;0.00584277;0.24541351
17.0;94.00244141;25.08190918;0.00593818;0.26074731
18.0;95.24256134;26.98267174;0.00604193;0.27607056
19.0;96.60238647;28.97821045;0.00615571;0.29143301
20.0;98.08389282;31.06781006;0.00627970;0.30674961
21.0;99.70259857;33.27274323;0.00641528;0.32209843
22.0;101.46997070;35.60109711;0.00656336;0.33743501
23.0;103.40040588;38.07135010;0.00672525;0.35278997
24.0;105.50653839;40.69360352;0.00690199;0.36811611
25.0;107.81622314;43.49505615;0.00709589;0.38344985
26.0;110.35093689;46.49893188;0.00730881;0.39879474
27.0;113.13275146;49.72782516;0.00754269;0.41413221
28.0;116.19940186;53.21772003;0.00780067;0.42947537
29.0;119.58590698;57.00064850;0.00808569;0.44479391
30.0;123.33969879;61.13310242;0.00840202;0.46016014
31.0;127.52023315;65.65925598;0.00875435;0.47549078
32.0;132.18803406;70.64678955;0.00914808;0.49081978
33.0;137.43420410;76.18514252;0.00959094;0.50616843
34.0;143.36032104;82.36862183;0.01009145;0.52150100
35.0;150.09562683;89.33093262;0.01066085;0.53685319
36.0;157.81459045;97.23271179;0.01131369;0.55218816
37.0;166.73550415;106.29129028;0.01206870;0.56752658
38.0;177.14953613;116.79232788;0.01295074;0.58287597
39.0;189.45588684;129.11770630;0.01399355;0.59821433
40.0;204.20422363;143.80459595;0.01524403;0.61355221
41.0;222.18034363;161.61965942;0.01676913;0.62889624
42.0;244.56138611;183.70385742;0.01866891;0.64424080
43.0;273.16259766;211.81857300;0.02109777;0.65957886
44.0;310.96228027;248.86302185;0.02430934;0.67492366
45.0;363.20660400;299.93331909;0.02875002;0.69027144
46.0;440.07019043;374.90570068;0.03528529;0.70560914
47.0;564.22021484;495.81207275;0.04584444;0.72095352
48.0;798.48437500;723.68536377;0.06577364;0.73629791
49.0;1405.51269531;1313.69506836;0.11742347;0.75164467
50.0;6725.26171875;6482.10351562;0.57010496;0.76698947
51.0;-2287.88671875;-2273.90356445;0.19688037;-2.35925984
52.0;-955.09204102;-978.84484863;0.08347186;-2.34391308
53.0;-594.39794922;-628.18859863;0.05278500;-2.32856297
54.0;-426.52642822;-464.85775757;0.03850624;-2.31321883
55.0;-329.49511719;-370.35870361;0.03025600;-2.29787207
56.0;-266.29089355;-308.73147583;0.02488453;-2.28252125
57.0;-221.86145020;-265.34829712;0.02111077;-2.26717353
58.0;-188.92919922;-233.14071655;0.01831551;-2.25182581
59.0;-163.54702759;-208.27709961;0.01616303;-2.23647070
60.0;-143.39372253;-188.49655151;0.01445551;-2.22112513
61.0;-126.99868774;-172.37536621;0.01306807;-2.20576763
62.0;-113.40883636;-158.98519897;0.01191950;-2.19041228
63.0;-101.95922089;-147.67839050;0.01095315;-2.17505980
64.0;-92.18371582;-138.00430298;0.01012945;-2.15970564
65.0;-83.73664856;-129.62345886;0.00941883;-2.14435387
66.0;-76.36874390;-122.29937744;0.00880036;-2.12899351
67.0;-69.88261414;-115.83645630;0.00825706;-2.11362910
68.0;-64.13032532;-110.08936310;0.00777626;-2.09827089
69.0;-58.99372101;-104.94385529;0.00734795;-2.08291650
70.0;-54.37645340;-100.30895996;0.00696408;-2.06754613
71.0;-50.20457458;-96.10944366;0.00661817;-2.05217838
72.0;-46.41638565;-92.28566742;0.00630500;-2.03681254
73.0;-42.95915222;-88.78605652;0.00602008;-2.02144074
74.0;-39.79131317;-85.56975555;0.00575983;-2.00606728
75.0;-36.87794876;-82.60083008;0.00552120;-1.99070227
76.0;-34.18637085;-79.85076904;0.00530158;-1.97531366
77.0;-31.69286346;-77.29238129;0.00509874;-1.95992661
78.0;-29.37513733;-74.90315247;0.00491073;-1.94453883
79.0;-27.21461678;-72.66456604;0.00473594;-1.92914951
80.0;-25.19361115;-70.55775452;0.00457280;-1.91375005
81.0;-23.29922867;-68.56876373;0.00442011;-1.89834988
82.0;-21.51734924;-66.68127441;0.00427655;-1.88293707
83.0;-19.83633423;-64.88476562;0.00414119;-1.86748922
84.0;-18.25094795;-63.16268158;0.00401286;-1.85208631
85.0;-16.74710083;-61.50399780;0.00389058;-1.83664405
86.0;-15.31896210;-59.89832306;0.00377357;-1.82117891
87.0;-13.95897484;-58.32797623;0.00366059;-1.80569696
88.0;-12.66069984;-56.77885437;0.00355062;-1.79018986
89.0;-11.41767120;-55.23037720;0.00344227;-1.77465272
90.0;-10.22400475;-53.66307831;0.00333425;-1.75906217
91.0;-9.07424164;-52.04223633;0.00322433;-1.74342382
92.0;-7.96356964;-50.32720184;0.00310995;-1.72773099
93.0;-6.88592339;-48.45331955;0.00298707;-1.71196556
94.0;-5.82372093;-46.32712555;0.00284984;-1.69584906
95.0;-4.77725983;-43.77230835;0.00268751;-1.67950487
96.0;-3.72427416;-40.47576904;0.00248088;-1.66255045
97.0;-2.62928772;-35.76150513;0.00218860;-1.64418709
98.0;-1.40625763;-27.88955688;0.00170441;-1.62117600
99.0;0.25298524;-10.52916622;0.00064283;-1.54677391
100.0;5.02473450;71.79827881;0.00439294;1.50092614
101.0;-6.49068451;-183.27186584;0.01119304;-1.60619712
102.0;-1.41806352;-94.04441071;0.00574067;-1.58587384
103.0;0.19379425;-76.26676941;0.00465497;-1.56825531
104.0;1.31536484;-68.45869446;0.00417916;-1.55158472
105.0;2.26586914;-63.97055435;0.00390690;-1.53539062
106.0;3.13508606;-61.00384521;0.00372829;-1.51944983
