FileName;SamplingFreq;SamplesQty;Replica;TimeTag;Time(ns)
./test/square_50Hz.txt;16384;16384;0;Time_0;17046386316256652
./test/square_50Hz.txt;16384;16384;0;Time_1;17046386326492684
./test/square_50Hz.txt;16384;16384;0;Time_2;17046386338417657
./test/square_50Hz.txt;16384;16384;0;Time_3;17046386342729662
./test/square_50Hz.txt;16384;16384;0;Time_4;17046463932761563
./test/square_50Hz.txt;16384;16384;0;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;0;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;0;Time_7;17046386342924180
./test/square_50Hz.txt;16384;16384;0;Time_8;17046386342924450
./test/square_50Hz.txt;16384;16384;0;Delta Time_1->2;011924973
./test/square_50Hz.txt;16384;16384;0;Delta Time_0->3;026473010
./test/square_50Hz.txt;16384;16384;0;Delta Time_3->4;77590031901
./test/square_50Hz.txt;16384;16384;0;Delta Time_5->6;365934394
./test/square_50Hz.txt;16384;16384;0;Delta Time_7->10;77589834763
./test/square_50Hz.txt;16384;16384;0;Delta Time_8->9;002062948
./test/square_50Hz.txt;16384;16384;1;Time_0;17046464458317965
./test/square_50Hz.txt;16384;16384;1;Time_1;17046464465821055
./test/square_50Hz.txt;16384;16384;1;Time_2;17046464477773249
./test/square_50Hz.txt;16384;16384;1;Time_3;17046464479570270
./test/square_50Hz.txt;16384;16384;1;Time_4;17046542027323271
./test/square_50Hz.txt;16384;16384;1;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;1;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;1;Time_7;17046464479616789
./test/square_50Hz.txt;16384;16384;1;Time_8;17046464479617129
./test/square_50Hz.txt;16384;16384;1;Delta Time_1->2;011952194
./test/square_50Hz.txt;16384;16384;1;Delta Time_0->3;021252305
./test/square_50Hz.txt;16384;16384;1;Delta Time_3->4;77547753001
./test/square_50Hz.txt;16384;16384;1;Delta Time_5->6;365934394
./test/square_50Hz.txt;16384;16384;1;Delta Time_7->10;77547703722
./test/square_50Hz.txt;16384;16384;1;Delta Time_8->9;001865810
./test/square_50Hz.txt;16384;16384;2;Time_0;17046542117168499
./test/square_50Hz.txt;16384;16384;2;Time_1;17046542120670442
./test/square_50Hz.txt;16384;16384;2;Time_2;17046542132429698
./test/square_50Hz.txt;16384;16384;2;Time_3;17046542132497027
./test/square_50Hz.txt;16384;16384;2;Time_4;17046619465609637
./test/square_50Hz.txt;16384;16384;2;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;2;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;2;Time_7;17046542132517027
./test/square_50Hz.txt;16384;16384;2;Time_8;17046542132517447
./test/square_50Hz.txt;16384;16384;2;Delta Time_1->2;011759256
./test/square_50Hz.txt;16384;16384;2;Delta Time_0->3;015328528
./test/square_50Hz.txt;16384;16384;2;Delta Time_3->4;77333112610
./test/square_50Hz.txt;16384;16384;2;Delta Time_5->6;365934394
./test/square_50Hz.txt;16384;16384;2;Delta Time_7->10;77333090070
./test/square_50Hz.txt;16384;16384;2;Delta Time_8->9;001809871
./test/square_50Hz.txt;16384;16384;3;Time_0;17046619574864809
./test/square_50Hz.txt;16384;16384;3;Time_1;17046619582461859
./test/square_50Hz.txt;16384;16384;3;Time_2;17046619594348453
./test/square_50Hz.txt;16384;16384;3;Time_3;17046619595575340
./test/square_50Hz.txt;16384;16384;3;Time_4;17046697201115748
./test/square_50Hz.txt;16384;16384;3;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;3;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;3;Time_7;17046619595782318
./test/square_50Hz.txt;16384;16384;3;Time_8;17046619595782588
./test/square_50Hz.txt;16384;16384;3;Delta Time_1->2;011886594
./test/square_50Hz.txt;16384;16384;3;Delta Time_0->3;020710531
./test/square_50Hz.txt;16384;16384;3;Delta Time_3->4;77605540408
./test/square_50Hz.txt;16384;16384;3;Delta Time_5->6;365934394
./test/square_50Hz.txt;16384;16384;3;Delta Time_7->10;77605330681
./test/square_50Hz.txt;16384;16384;3;Delta Time_8->9;001929299
./test/square_50Hz.txt;16384;16384;4;Time_0;17046697328692426
./test/square_50Hz.txt;16384;16384;4;Time_1;17046697341452631
./test/square_50Hz.txt;16384;16384;4;Time_2;17046697353311575
./test/square_50Hz.txt;16384;16384;4;Time_3;17046697353378904
./test/square_50Hz.txt;16384;16384;4;Time_4;17046774934255990
./test/square_50Hz.txt;16384;16384;4;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;4;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;4;Time_7;17046697353547933
./test/square_50Hz.txt;16384;16384;4;Time_8;17046697353548413
./test/square_50Hz.txt;16384;16384;4;Delta Time_1->2;011858944
./test/square_50Hz.txt;16384;16384;4;Delta Time_0->3;024686478
./test/square_50Hz.txt;16384;16384;4;Delta Time_3->4;77580877086
./test/square_50Hz.txt;16384;16384;4;Delta Time_5->6;365934394
./test/square_50Hz.txt;16384;16384;4;Delta Time_7->10;77580705527
./test/square_50Hz.txt;16384;16384;4;Delta Time_8->9;001842670
./test/square_50Hz.txt;16384;16384;5;Time_0;17046775341309775
./test/square_50Hz.txt;16384;16384;5;Time_1;17046775374877729
./test/square_50Hz.txt;16384;16384;5;Time_2;17046775386778963
./test/square_50Hz.txt;16384;16384;5;Time_3;17046775444564600
./test/square_50Hz.txt;16384;16384;5;Time_4;17046853040974868
./test/square_50Hz.txt;16384;16384;5;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;5;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;5;Time_7;17046775444628120
./test/square_50Hz.txt;16384;16384;5;Time_8;17046775444628600
./test/square_50Hz.txt;16384;16384;5;Delta Time_1->2;011901234
./test/square_50Hz.txt;16384;16384;5;Delta Time_0->3;103254825
./test/square_50Hz.txt;16384;16384;5;Delta Time_3->4;77596410268
./test/square_50Hz.txt;16384;16384;5;Delta Time_5->6;365934394
./test/square_50Hz.txt;16384;16384;5;Delta Time_7->10;77596344218
./test/square_50Hz.txt;16384;16384;5;Delta Time_8->9;002529743
./test/square_50Hz.txt;16384;16384;6;Time_0;17046853135668803
./test/square_50Hz.txt;16384;16384;6;Time_1;17046853156574881
./test/square_50Hz.txt;16384;16384;6;Time_2;17046853168459695
./test/square_50Hz.txt;16384;16384;6;Time_3;17046853171966248
./test/square_50Hz.txt;16384;16384;6;Time_4;17046930592377928
./test/square_50Hz.txt;16384;16384;6;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;6;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;6;Time_7;17046853172244905
./test/square_50Hz.txt;16384;16384;6;Time_8;17046853172245235
./test/square_50Hz.txt;16384;16384;6;Delta Time_1->2;011884814
./test/square_50Hz.txt;16384;16384;6;Delta Time_0->3;036297445
./test/square_50Hz.txt;16384;16384;6;Delta Time_3->4;77420411680
./test/square_50Hz.txt;16384;16384;6;Delta Time_5->6;365934394
./test/square_50Hz.txt;16384;16384;6;Delta Time_7->10;77420130503
./test/square_50Hz.txt;16384;16384;6;Delta Time_8->9;001738382
./test/square_50Hz.txt;16384;16384;7;Time_0;17046930767668100
./test/square_50Hz.txt;16384;16384;7;Time_1;17046930770546679
./test/square_50Hz.txt;16384;16384;7;Time_2;17046930782440413
./test/square_50Hz.txt;16384;16384;7;Time_3;17046930792128771
./test/square_50Hz.txt;16384;16384;7;Time_4;17047008065652344
./test/square_50Hz.txt;16384;16384;7;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;7;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;7;Time_7;17046930792351038
./test/square_50Hz.txt;16384;16384;7;Time_8;17046930792351368
./test/square_50Hz.txt;16384;16384;7;Delta Time_1->2;011893734
./test/square_50Hz.txt;16384;16384;7;Delta Time_0->3;024460671
./test/square_50Hz.txt;16384;16384;7;Delta Time_3->4;77273523573
./test/square_50Hz.txt;16384;16384;7;Delta Time_5->6;365934394
./test/square_50Hz.txt;16384;16384;7;Delta Time_7->10;77273298576
./test/square_50Hz.txt;16384;16384;7;Delta Time_8->9;001870541
./test/square_50Hz.txt;16384;16384;8;Time_0;17047008202592298
./test/square_50Hz.txt;16384;16384;8;Time_1;17047008208672314
./test/square_50Hz.txt;16384;16384;8;Time_2;17047008220553998
./test/square_50Hz.txt;16384;16384;8;Time_3;17047008220621757
./test/square_50Hz.txt;16384;16384;8;Time_4;17047085480203850
./test/square_50Hz.txt;16384;16384;8;Time_5;17046463932903041
./test/square_50Hz.txt;16384;16384;8;Time_6;17046464298837435
./test/square_50Hz.txt;16384;16384;8;Time_7;17047008220792185
./test/square_50Hz.txt;16384;16384;8;Time_8;17047008220792675
./test/square_50Hz.txt;16384;16384;8;Delta Time_1->2;011881684
