Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.05786133;1.30639648;0.00519213;0.01535771
2.0;85.13134766;2.60144043;0.00519843;0.03054846
3.0;85.28149414;3.93017578;0.00521069;0.04605216
4.0;85.47882080;5.25341797;0.00522706;0.06138150
5.0;85.72570801;6.58837891;0.00524771;0.07670340
6.0;86.03100586;7.94384766;0.00527325;0.09207594
7.0;86.40518188;9.31372070;0.00530430;0.10737664
8.0;86.83557129;10.70910645;0.00534018;0.12270667
9.0;87.32952881;12.13403320;0.00538138;0.13806143
10.0;87.89874268;13.58581543;0.00542862;0.15334865
11.0;88.52624512;15.08007812;0.00548105;0.16872627
12.0;89.22821045;16.61257935;0.00553964;0.18407324
13.0;90.00827026;18.18936920;0.00560472;0.19940007
14.0;90.87487030;19.82066727;0.00567696;0.21474631
15.0;91.82152557;21.50434875;0.00575598;0.23005109
16.0;92.85952759;23.25772858;0.00584276;0.24541289
17.0;94.00131226;25.08038330;0.00593809;0.26073515
18.0;95.24089050;26.98303223;0.00604184;0.27607867
19.0;96.60339355;28.97747803;0.00615575;0.29142317
20.0;98.08409119;31.07012939;0.00627976;0.30677053
21.0;99.70318604;33.27105713;0.00641528;0.32208145
22.0;101.46768951;35.60107422;0.00656323;0.33744183
23.0;103.39990234;38.07156372;0.00672523;0.35279337
24.0;105.50875854;40.69494629;0.00690215;0.36812013
25.0;107.81431580;43.49465942;0.00709577;0.38345283
26.0;110.35124207;46.49865723;0.00730882;0.39879164
27.0;113.13264465;49.72767639;0.00754268;0.41413146
28.0;116.19921112;53.21754074;0.00780066;0.42947471
29.0;119.58535004;57.00221252;0.00808570;0.44480637
30.0;123.34103394;61.13105774;0.00840204;0.46014252
31.0;127.52058411;65.65744019;0.00875432;0.47547841
32.0;132.18862915;70.64846802;0.00914816;0.49082780
33.0;137.43368530;76.18507385;0.00959091;0.50616962
34.0;143.36007690;82.36984253;0.01009148;0.52150816
35.0;150.09600830;89.33059692;0.01066086;0.53685039
36.0;157.81423950;97.23149109;0.01131364;0.55218351
37.0;166.73570251;106.29116821;0.01206871;0.56752551
38.0;177.15124512;116.79174805;0.01295080;0.58286923
39.0;189.45610046;129.11708069;0.01399354;0.59821159
40.0;204.20338440;143.80473328;0.01524399;0.61355460
41.0;222.18109131;161.62159729;0.01676923;0.62890035
42.0;244.56079102;183.70315552;0.01866886;0.64424014
43.0;273.16314697;211.81866455;0.02109780;0.65957814
44.0;310.96398926;248.86196899;0.02430938;0.67491889
45.0;363.20626831;299.93041992;0.02874989;0.69026715
46.0;440.07147217;374.90856934;0.03528547;0.70561147
47.0;564.22113037;495.81243896;0.04584449;0.72095305
48.0;798.48364258;723.68646240;0.06577365;0.73629916
49.0;1405.50866699;1313.68994141;0.11742307;0.75164413
50.0;6725.25830078;6482.09423828;0.57010442;0.76698899
51.0;-2287.88378906;-2273.90893555;0.19688047;-2.35925794
52.0;-955.09582520;-978.84698486;0.08347212;-2.34391379
53.0;-594.39978027;-628.18597412;0.05278496;-2.32856655
54.0;-426.52606201;-464.85848999;0.03850626;-2.31321764
55.0;-329.49478149;-370.36053467;0.03025606;-2.29786897
56.0;-266.28985596;-308.73052979;0.02488445;-2.28252077
57.0;-221.86157227;-265.34786987;0.02111076;-2.26717448
58.0;-188.92753601;-233.14062500;0.01831545;-2.25182176
59.0;-163.54772949;-208.27693176;0.01616304;-2.23647332
60.0;-143.39294434;-188.49645996;0.01445547;-2.22112274
61.0;-126.99822998;-172.37612915;0.01306809;-2.20576382
62.0;-113.40935516;-158.98464966;0.01191950;-2.19041610
63.0;-101.95886230;-147.67927551;0.01095318;-2.17505527
64.0;-92.18395996;-138.00360107;0.01012942;-2.15970922
65.0;-83.73602295;-129.62411499;0.00941884;-2.14434814
66.0;-76.36882019;-122.29866028;0.00880032;-2.12899661
67.0;-69.88208008;-115.83682251;0.00825706;-2.11362433
68.0;-64.13011169;-110.08935547;0.00777626;-2.09826946
69.0;-58.99375153;-104.94410706;0.00734797;-2.08291578
70.0;-54.37609863;-100.30937195;0.00696409;-2.06754160
71.0;-50.20494461;-96.11006165;0.00661822;-2.05217886
72.0;-46.41652298;-92.28578949;0.00630501;-2.03681302
73.0;-42.95901489;-88.78629303;0.00602008;-2.02143860
74.0;-39.79180908;-85.56951904;0.00575983;-2.00607300
75.0;-36.87825775;-82.60012817;0.00552116;-1.99070859
76.0;-34.18637085;-79.85093689;0.00530159;-1.97531295
77.0;-31.69246101;-77.29263306;0.00509874;-1.95992100
78.0;-29.37512207;-74.90340424;0.00491074;-1.94453752
79.0;-27.21392822;-72.66496277;0.00473595;-1.92913938
80.0;-25.19338989;-70.55757141;0.00457278;-1.91374803
81.0;-23.29979324;-68.56841278;0.00442010;-1.89835882
82.0;-21.51710129;-66.68189240;0.00427658;-1.88293099
83.0;-19.83604431;-64.88561249;0.00414123;-1.86748147
84.0;-18.25088501;-63.16330338;0.00401289;-1.85208273
85.0;-16.74697876;-61.50422668;0.00389059;-1.83664119
86.0;-15.31925964;-59.89873123;0.00377360;-1.82118189
87.0;-13.95914459;-58.32777405;0.00366058;-1.80570054
88.0;-12.66120911;-56.77897644;0.00355063;-1.79019785
89.0;-11.41703796;-55.23043060;0.00344227;-1.77464163
90.0;-10.22445679;-53.66294861;0.00333425;-1.75907075
91.0;-9.07448101;-52.04312134;0.00322439;-1.74342549
92.0;-7.96379089;-50.32735825;0.00310996;-1.72773480
93.0;-6.88569641;-48.45315552;0.00298706;-1.71196151
94.0;-5.82394028;-46.32699585;0.00284983;-1.69585407
95.0;-4.77698517;-43.77236176;0.00268752;-1.67949855
96.0;-3.72463989;-40.47470474;0.00248082;-1.66256177
97.0;-2.62896729;-35.76162338;0.00218861;-1.64417791
98.0;-1.40671921;-27.88954163;0.00170441;-1.62119257
99.0;0.25218201;-10.52907753;0.00064283;-1.54684985
100.0;5.02442169;71.79814148;0.00439293;1.50093043
101.0;-6.49030304;-183.27156067;0.01119302;-1.60619509
102.0;-1.41812134;-94.04464722;0.00574068;-1.58587444
103.0;0.19377136;-76.26623535;0.00465494;-1.56825566
104.0;1.31524658;-68.45848083;0.00417915;-1.55158639
105.0;2.26607585;-63.97024536;0.00390688;-1.53538728
106.0;3.13504028;-61.00368881;0.00372828;-1.51945055
107.0;3.95833588;-58.86932373;0.00360121;-1.50365806
108.0;4.75119781;-57.24768829;0.00350613;-1.48799241
109.0;5.52713394;-55.96599579;0.00343251;-1.47235680
110.0;6.28969574;-54.92766953;0.00337443;-1.45678425
111.0;7.04447079;-54.07467651;0.00332834;-1.44125283
112.0;7.79526901;-53.36482620;0.00329170;-1.42574716
113.0;8.54212189;-52.77192688;0.00326287;-1.41031957
114.0;9.29696274;-52.28015137;0.00324099;-1.39480639
115.0;10.05387878;-51.87523651;0.00322513;-1.37936080
116.0;10.81685638;-51.54853821;0.00321480;-1.36395907
117.0;11.59458160;-51.29449463;0.00320975;-1.34849274
118.0;12.38422394;-51.10910034;0.00320972;-1.33306873
119.0;13.19045258;-50.98809814;0.00321452;-1.31764948
120.0;14.01680756;-50.93238831;0.00322424;-1.30224025
121.0;14.86643219;-50.94025421;0.00323885;-1.28684199
122.0;15.74411011;-51.01191711;0.00325844;-1.27143562
123.0;16.65486145;-51.15399170;0.00328351;-1.25603735
124.0;17.60182953;-51.36389923;0.00331398;-1.24064970
125.0;18.59102249;-51.64643860;0.00335026;-1.22526979
126.0;19.63190842;-52.01039886;0.00339308;-1.20986962
127.0;20.73018265;-52.46273041;0.00344299;-1.19448566
128.0;21.89530563;-53.00616455;0.00350039;-1.17907298
129.0;23.13291550;-53.65153503;0.00356605;-1.16371155
130.0;24.46178436;-54.41627502;0.00364146;-1.14833272
131.0;25.89411926;-55.31204987;0.00372761;-1.13295496
132.0;27.44863892;-56.35583496;0.00382599;-1.11755466
133.0;29.14528656;-57.57341003;0.00393861;-1.10217857
134.0;31.01098442;-58.99067688;0.00406770;-1.08680618
135.0;33.08092499;-60.64492035;0.00421636;-1.07142580
136.0;35.39524078;-62.57916641;0.00438816;-1.05604947
137.0;38.01241302;-64.85520935;0.00458826;-1.04065120
138.0;40.99973297;-67.54995728;0.00482293;-1.02527905
139.0;44.45750809;-70.76799011;0.00510094;-1.00988853
140.0;48.51380920;-74.65116882;0.00543398;-0.99451011
141.0;53.35485840;-79.40207672;0.00583881;-0.97913945
142.0;59.25477600;-85.31597137;0.00634001;-0.96374875
143.0;66.63529968;-92.83187866;0.00697459;-0.94821960
144.0;76.09976196;-102.67469788;0.00780040;-0.93296820
145.0;88.79300690;-116.03038788;0.00891766;-0.91760236
146.0;106.73194885;-135.11187744;0.01050921;-0.90221208
147.0;134.07943726;-164.46516418;0.01295126;-0.88682842
148.0;181.02337646;-215.20007324;0.01716386;-0.87144130
149.0;280.72256470;-323.48162842;0.02614169;-0.85604960
150.0;637.93035889;-712.64282227;0.05837766;-0.84066093
151.0;-2150.66967773;2329.39208984;0.19350597;2.31632280
152.0;-393.58407593;413.33859253;0.03483590;2.33171797
153.0;-214.34153748;218.27197266;0.01867167;2.34710932
154.0;-146.09124756;144.25715637;0.01253122;2.36251116
155.0;-110.05940247;105.38082886;0.00930024;2.37790751
156.0;-87.75588226;81.47245026;0.00730865;2.39330745
157.0;-72.56692505;65.31934357;0.00595916;2.40870810
158.0;-61.54065704;53.70164490;0.00498516;2.42411184
159.0;-53.16000366;44.96311951;0.00424958;2.43953776
160.0;-46.56322861;38.16937637;0.00367482;2.45493507
161.0;-41.22965240;32.74470520;0.00321355;2.47039652
162.0;-36.82061768;28.32975769;0.00283556;2.48579121
163.0;-33.10729218;24.67114258;0.00252006;2.50117850
164.0;-29.93635941;21.59872437;0.00225309;2.51659036
165.0;-27.19387817;18.98701859;0.00202432;2.53206944
166.0;-24.78610039;16.73878479;0.00182549;2.54761672
167.0;-22.66646194;14.80685043;0.00165248;2.56293654
168.0;-20.77384186;13.11865234;0.00149959;2.57833385
169.0;-19.07295990;11.63565445;0.00136365;2.59380865
170.0;-17.53673363;10.33129883;0.00124229;2.60920906
171.0;-16.13828659;9.17238998;0.00113298;2.62476134
172.0;-14.85831738;8.14318848;0.00103415;2.64024329
173.0;-13.68075562;7.23429108;0.00094456;2.65517664
174.0;-12.59383011;6.40445709;0.00086235;2.67113709
175.0;-11.58547592;5.66742706;0.00078719;2.68663549
176.0;-10.64543152;5.00403595;0.00071795;2.70217919
177.0;-9.76837921;4.40568161;0.00065405;2.71789527
178.0;-8.94420242;3.86940002;0.00059481;2.73328948
179.0;-8.16982079;3.38376617;0.00053972;2.74892330
180.0;-7.43964005;2.94198608;0.00048829;2.76501703
181.0;-6.74877071;2.55182648;0.00044038;2.78009176
182.0;-6.09245110;2.19539642;0.00039526;2.79572988
183.0;-5.46796799;1.87284279;0.00035277;2.81160450
184.0;-4.87489700;1.58496475;0.00031287;2.82724524
185.0;-4.31008530;1.32547760;0.00027523;2.84324265
186.0;-3.77062988;1.09627533;0.00023967;2.85865211
187.0;-3.25462127;0.88871002;0.00020592;2.87503004
188.0;-2.76171494;0.70676899;0.00017399;2.89105320
189.0;-2.29318810;0.54788971;0.00014390;2.90706849
190.0;-1.84420013;0.40948868;0.00011530;2.92309618
191.0;-1.41853428;0.29143524;0.00008839;2.93896413
192.0;-1.01787949;0.19020462;0.00006320;2.95685959
193.0;-0.63958740;0.10926056;0.00003960;2.97239614
194.0;-0.30740356;0.04545593;0.00001897;2.99478602
195.0;-0.01125765;0.00340652;0.00000072;2.84775543
196.0;0.21241570;-0.02531147;0.00001306;-0.11860084
197.0;0.33843327;-0.02128267;0.00002070;-0.06280318
198.0;0.25495768;0.01403809;0.00001558;0.05500492
199.0;-0.32565498;0.10664368;0.00002092;2.82512426
200.0;-2.84457397;0.40172577;0.00017534;3.00129509
201.0;-196.27810669;19.16057587;0.01203681;3.04428148
202.0;10.23799133;-0.72585297;0.00062645;-0.07077955
203.0;7.43168545;-0.36556244;0.00045414;-0.04915009
204.0;6.78575897;-0.20402908;0.00041436;-0.03005819
205.0;6.66967964;-0.08074951;0.00040711;-0.01210636
206.0;6.76543045;0.03491974;0.00041293;0.00516145
207.0;6.96378994;0.15333176;0.00042514;0.02201488
208.0;7.22920418;0.27901649;0.00044156;0.03857660
209.0;7.53365231;0.41456032;0.00046051;0.05497236
210.0;7.86868668;0.56013608;0.00048148;0.07106558
211.0;8.22497749;0.71573055;0.00050391;0.08680049
212.0;8.60448360;0.89208984;0.00052799;0.10330823
213.0;8.99811077;1.07312584;0.00055309;0.11870059
214.0;9.40785980;1.27576065;0.00057947;0.13478367
215.0;9.83775330;1.49029541;0.00060730;0.15034427
216.0;10.28067780;1.72234726;0.00063623;0.16599095
217.0;10.74646950;1.97452545;0.00066689;0.18171041
218.0;11.22901154;2.24473190;0.00069892;0.19730391
219.0;11.73548889;2.52901268;0.00073272;0.21225522
220.0;12.25578880;2.85073853;0.00076800;0.22853960
221.0;12.80645180;3.19033813;0.00080553;0.24414988
222.0;13.38205719;3.55556107;0.00084511;0.25969610
