Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.05798340;1.30694580;0.00519214;0.01536414
2.0;85.14334106;2.61462402;0.00519919;0.03069885
3.0;85.27868652;3.92407227;0.00521051;0.04598225
4.0;85.47277832;5.25097656;0.00522668;0.06135738
5.0;85.72705078;6.58854675;0.00524779;0.07670414
6.0;86.03503418;7.93542480;0.00527345;0.09197458
7.0;86.40466309;9.31311035;0.00530427;0.10737029
8.0;86.83673096;10.71093750;0.00534026;0.12272581
9.0;87.33081055;12.13006592;0.00538142;0.13801487
10.0;87.89404297;13.58303833;0.00542831;0.15332587
11.0;88.52551270;15.07794189;0.00548098;0.16870418
12.0;89.23034668;16.61096191;0.00553975;0.18405142
13.0;90.00961304;18.18963623;0.00560481;0.19940002
14.0;90.87573242;19.81652832;0.00567696;0.21470086
15.0;91.82278442;21.50573730;0.00575608;0.23006238
16.0;92.86045074;23.25708008;0.00584281;0.24540398
17.0;93.99914551;25.07852173;0.00593793;0.26072240
18.0;95.24353027;26.98385620;0.00604201;0.27607942
19.0;96.60379028;28.97802734;0.00615579;0.29142725
20.0;98.08499146;31.06994629;0.00627981;0.30676618
21.0;99.70345306;33.27185059;0.00641531;0.32208782
22.0;101.47116089;35.60377502;0.00656349;0.33745483
23.0;103.39865112;38.06834412;0.00672509;0.35276985
24.0;105.50852966;40.69326782;0.00690210;0.36810702
25.0;107.81608582;43.49555969;0.00709589;0.38345432
26.0;110.34986877;46.49819946;0.00730873;0.39879256
27.0;113.13278198;49.72738647;0.00754268;0.41412884
28.0;116.19879913;53.21804810;0.00780065;0.42947966
29.0;119.58686829;57.00333405;0.00808581;0.44480908
30.0;123.34096527;61.13064575;0.00840203;0.46014005
31.0;127.51863098;65.65866089;0.00875425;0.47549221
32.0;132.18859863;70.64514160;0.00914806;0.49080834
33.0;137.43447876;76.18514252;0.00959095;0.50616759
34.0;143.36070251;82.36978149;0.01009151;0.52150595
35.0;150.09489441;89.33042908;0.01066080;0.53685284
36.0;157.81475830;97.23242188;0.01131369;0.55218631
37.0;166.73568726;106.29098511;0.01206870;0.56752479
38.0;177.14916992;116.79162598;0.01295069;0.58287412
39.0;189.45520020;129.11752319;0.01399351;0.59821534
40.0;204.20358276;143.80415344;0.01524398;0.61355227
41.0;222.18029785;161.62188721;0.01676920;0.62890291
42.0;244.56069946;183.70298767;0.01866885;0.64423990
43.0;273.16238403;211.81901550;0.02109778;0.65958029
44.0;310.96316528;248.86297607;0.02430938;0.67492217
45.0;363.20706177;299.93002319;0.02874992;0.69026542
46.0;440.07006836;374.90686035;0.03528533;0.70561081
47.0;564.21905518;495.81332397;0.04584443;0.72095579
48.0;798.48284912;723.68457031;0.06577354;0.73629832
49.0;1405.50854492;1313.68811035;0.11742299;0.75164348
50.0;6725.25781250;6482.09472656;0.57010442;0.76698905
51.0;-2287.88525391;-2273.90917969;0.19688055;-2.35925817
52.0;-955.09448242;-978.84832764;0.08347212;-2.34391260
53.0;-594.39929199;-628.18640137;0.05278495;-2.32856584
54.0;-426.52581787;-464.85897827;0.03850627;-2.31321692
55.0;-329.49438477;-370.36019897;0.03025603;-2.29786897
56.0;-266.29010010;-308.73068237;0.02488446;-2.28252101
57.0;-221.86038208;-265.34844971;0.02111074;-2.26717091
58.0;-188.92837524;-233.14175415;0.01831553;-2.25182152
59.0;-163.54708862;-208.27682495;0.01616301;-2.23647165
60.0;-143.39340210;-188.49658203;0.01445549;-2.22112393
61.0;-126.99938202;-172.37535095;0.01306810;-2.20577025
62.0;-113.40997314;-158.98471069;0.01191952;-2.19041848
63.0;-101.95821381;-147.67813110;0.01095310;-2.17505598
64.0;-92.18376160;-138.00363159;0.01012942;-2.15970802
65.0;-83.73608398;-129.62353516;0.00941881;-2.14435053
66.0;-76.36964417;-122.29908752;0.00880037;-2.12899995
67.0;-69.88267517;-115.83598328;0.00825704;-2.11363125
68.0;-64.13035583;-110.08934021;0.00777626;-2.09827137
69.0;-58.99345398;-104.94414520;0.00734796;-2.08291340
70.0;-54.37653732;-100.30920410;0.00696409;-2.06754565
71.0;-50.20499802;-96.10910034;0.00661816;-2.05218339
72.0;-46.41693115;-92.28564453;0.00630501;-2.03681731
73.0;-42.95898438;-88.78593445;0.00602006;-2.02143979
74.0;-39.79164124;-85.56987762;0.00575985;-2.00606990
75.0;-36.87812805;-82.60054779;0.00552118;-1.99070537
76.0;-34.18618774;-79.85076141;0.00530158;-1.97531176
77.0;-31.69326782;-77.29275513;0.00509877;-1.95992947
78.0;-29.37463379;-74.90305328;0.00491071;-1.94453347
79.0;-27.21434021;-72.66441345;0.00473593;-1.92914689
80.0;-25.19348717;-70.55812073;0.00457282;-1.91374683
81.0;-23.29960632;-68.56887817;0.00442013;-1.89835429
82.0;-21.51713562;-66.68128967;0.00427655;-1.88293409
83.0;-19.83663940;-64.88510132;0.00414121;-1.86749208
84.0;-18.25121307;-63.16340637;0.00401290;-1.85208702
85.0;-16.74740601;-61.50440216;0.00389061;-1.83664691
86.0;-15.31933594;-59.89859009;0.00377359;-1.82118368
87.0;-13.95916748;-58.32718658;0.00366054;-1.80570316
88.0;-12.66084290;-56.77941513;0.00355065;-1.79019010
89.0;-11.41810989;-55.23002625;0.00344226;-1.77466166
90.0;-10.22501373;-53.66256714;0.00333423;-1.75908208
91.0;-9.07394409;-52.04260254;0.00322435;-1.74341714
92.0;-7.96305084;-50.32710266;0.00310994;-1.72772133
93.0;-6.88588715;-48.45363617;0.00298709;-1.71196401
94.0;-5.82367706;-46.32675552;0.00284981;-1.69584906
95.0;-4.77756500;-43.77276611;0.00268754;-1.67951071
96.0;-3.72433853;-40.47531128;0.00248085;-1.66255307
97.0;-2.62909698;-35.76158142;0.00218860;-1.64418161
98.0;-1.40667725;-27.88960266;0.00170441;-1.62119091
99.0;0.25322533;-10.52934265;0.00064285;-1.54675150
100.0;5.02463531;71.79792023;0.00439292;1.50092721
101.0;-6.49072266;-183.27111816;0.01119299;-1.60619748
102.0;-1.41871643;-94.04443359;0.00574067;-1.58588076
103.0;0.19372368;-76.26615143;0.00465493;-1.56825626
104.0;1.31518555;-68.45902252;0.00417918;-1.55158746
105.0;2.26612186;-63.97108459;0.00390693;-1.53538692
106.0;3.13536835;-61.00388336;0.00372830;-1.51944530
107.0;3.95845032;-58.86944580;0.00360122;-1.50365627
108.0;4.75169373;-57.24799347;0.00350616;-1.48798418
109.0;5.52754211;-55.96604538;0.00343252;-1.47234964
110.0;6.28952456;-54.92816925;0.00337446;-1.45678830
111.0;7.04466486;-54.07494354;0.00332836;-1.44124997
112.0;7.79519081;-53.36445618;0.00329167;-1.42574763
113.0;8.54185009;-52.77194977;0.00326287;-1.41032469
114.0;9.29703712;-52.28029633;0.00324100;-1.39480543
115.0;10.05395508;-51.87583160;0.00322517;-1.37936151
116.0;10.81713867;-51.54861450;0.00321480;-1.36395407
117.0;11.59505081;-51.29480743;0.00320978;-1.34848535
118.0;12.38388062;-51.10910797;0.00320972;-1.33307505
119.0;13.18996811;-50.98789978;0.00321450;-1.31765735
120.0;14.01669312;-50.93200684;0.00322421;-1.30224049
121.0;14.86622620;-50.93957520;0.00323880;-1.28684211
122.0;15.74392128;-51.01274872;0.00325848;-1.27144361
123.0;16.65424728;-51.15364838;0.00328348;-1.25604630
124.0;17.60195923;-51.36342621;0.00331395;-1.24064457
125.0;18.59123421;-51.64646149;0.00335026;-1.22526634
126.0;19.63216019;-52.01084518;0.00339311;-1.20986819
127.0;20.73023605;-52.46265411;0.00344298;-1.19448423
128.0;21.89522743;-53.00590515;0.00350037;-1.17907250
129.0;23.13323212;-53.65173721;0.00356607;-1.16370797
130.0;24.46207047;-54.41636276;0.00364147;-1.14832902
131.0;25.89452362;-55.31166840;0.00372760;-1.13294637
132.0;27.44892883;-56.35567474;0.00382599;-1.11754942
133.0;29.14556885;-57.57318115;0.00393861;-1.10217309
134.0;31.01048279;-58.99036789;0.00406767;-1.08681071
135.0;33.08054352;-60.64471436;0.00421633;-1.07142913
136.0;35.39601517;-62.57925415;0.00438819;-1.05604064
137.0;38.01226044;-64.85561371;0.00458828;-1.04065573
138.0;40.99989319;-67.54975891;0.00482292;-1.02527606
139.0;44.45738220;-70.76810455;0.00510094;-1.00989044
140.0;48.51381683;-74.65134430;0.00543399;-0.99451113
141.0;53.35423279;-79.40152740;0.00583876;-0.97914165
142.0;59.25487900;-85.31591797;0.00634001;-0.96374768
143.0;66.63485718;-92.83180237;0.00697457;-0.94822234
144.0;76.09971619;-102.67499542;0.00780041;-0.93296987
145.0;88.79304504;-116.03089905;0.00891769;-0.91760427
146.0;106.73183441;-135.11166382;0.01050919;-0.90221184
147.0;134.07946777;-164.46546936;0.01295128;-0.88682920
148.0;181.02410889;-215.19932556;0.01716385;-0.87143761
149.0;280.72244263;-323.48171997;0.02614169;-0.85604995
150.0;637.93029785;-712.64202881;0.05837762;-0.84066039
151.0;-2150.66967773;2329.39135742;0.19350593;2.31632304
152.0;-393.58367920;413.34020996;0.03483596;2.33171558
153.0;-214.34185791;218.27166748;0.01867167;2.34711075
154.0;-146.09082031;144.25697327;0.01253119;2.36251044
155.0;-110.05916595;105.38085938;0.00930023;2.37790608
156.0;-87.75571442;81.47254944;0.00730865;2.39330578
157.0;-72.56769562;65.31938171;0.00595920;2.40871310
158.0;-61.54094696;53.70114899;0.00498516;2.42411876
159.0;-53.15967560;44.96343613;0.00424958;2.43953109
160.0;-46.56322479;38.16934967;0.00367482;2.45493555
161.0;-41.22956848;32.74520111;0.00321356;2.47038817
162.0;-36.82014465;28.32958603;0.00283553;2.48578787
163.0;-33.10725403;24.67143250;0.00252007;2.50117254
164.0;-29.93654633;21.59902382;0.00225311;2.51658678
165.0;-27.19366837;18.98692322;0.00202431;2.53206825
166.0;-24.78596497;16.73887634;0.00182549;2.54761147
167.0;-22.66657257;14.80700684;0.00165249;2.56293392
168.0;-20.77388191;13.11864471;0.00149959;2.57833505
169.0;-19.07290649;11.63572598;0.00136365;2.59380484
170.0;-17.53731155;10.33162689;0.00124233;2.60920954
171.0;-16.13783264;9.17251587;0.00113296;2.62474322
172.0;-14.85800171;8.14324951;0.00103413;2.64023113
173.0;-13.68074226;7.23461914;0.00094457;2.65515757
174.0;-12.59343719;6.40435791;0.00086233;2.67113066
175.0;-11.58543777;5.66728210;0.00078719;2.68664408
176.0;-10.64524555;5.00424194;0.00071794;2.70215654
177.0;-9.76844025;4.40549850;0.00065405;2.71791315
178.0;-8.94448090;3.86927795;0.00059482;2.73331213
179.0;-8.16963196;3.38354492;0.00053971;2.74893832
180.0;-7.43972015;2.94227028;0.00048831;2.76498771
