Frequency;Real;Imaginary;Amplitude;Angle
0.0;49136.00000000;0.00000000;2.99902344;0.00000000
1.0;84.53182983;-1.27283204;0.00516000;-0.01505629
2.0;84.62230682;-2.56238937;0.00516730;-0.03027106
3.0;84.76644135;-3.84653807;0.00517906;-0.04534697
4.0;84.96408844;-5.15414429;0.00519533;-0.06058837
5.0;85.21318054;-6.46281576;0.00521594;-0.07569800
6.0;85.52514648;-7.79691648;0.00524169;-0.09091388
7.0;85.90306091;-9.14641666;0.00527274;-0.10607406
8.0;86.33690643;-10.51529312;0.00530853;-0.12119681
9.0;86.83831024;-11.91685104;0.00534986;-0.13637850
10.0;87.40288544;-13.34575367;0.00539648;-0.15152203
11.0;88.04281616;-14.81157398;0.00544922;-0.16667081
12.0;88.75138092;-16.31331825;0.00550770;-0.18178010
13.0;89.54024506;-17.86732101;0.00557285;-0.19695815
14.0;90.40872192;-19.46783829;0.00564459;-0.21209291
15.0;91.36615753;-21.12485695;0.00572366;-0.22721820
16.0;92.41456604;-22.84825325;0.00581037;-0.24237603
17.0;93.56318665;-24.64043617;0.00590536;-0.25750908
18.0;94.81647491;-26.51321793;0.00600913;-0.27266252
19.0;96.18978882;-28.47630310;0.00612283;-0.28782248
20.0;97.68476868;-30.53354836;0.00624668;-0.30295068
21.0;99.31806946;-32.70490646;0.00638210;-0.31811133
22.0;101.09976196;-34.99861526;0.00652992;-0.33326676
23.0;103.04771423;-37.43241882;0.00669164;-0.34843260
24.0;105.17462158;-40.01492691;0.00686826;-0.36355048
25.0;107.50569916;-42.77687073;0.00706199;-0.37869754
26.0;110.05960083;-45.73857880;0.00727449;-0.39386493
27.0;112.86841583;-48.92202759;0.00750823;-0.40900019
28.0;115.96131897;-52.36267090;0.00776584;-0.42414457
29.0;119.38012695;-56.09806824;0.00805077;-0.43928823
30.0;123.16804504;-60.17323303;0.00836676;-0.45444235
31.0;127.38338470;-64.64146423;0.00871864;-0.46959460
32.0;132.09526062;-69.56576538;0.00911215;-0.48472655
33.0;137.38922119;-75.03609467;0.00955473;-0.49988800
34.0;143.36790466;-81.14360046;0.01005482;-0.51503032
35.0;150.16574097;-88.02200317;0.01062391;-0.53018510
36.0;157.95503235;-95.83049011;0.01127636;-0.54532760
37.0;166.95704651;-104.78354645;0.01203093;-0.56047237
38.0;177.46669006;-115.16590881;0.01291259;-0.57563239
39.0;189.88502502;-127.35234070;0.01395490;-0.59077686
40.0;204.76858521;-141.87641907;0.01520487;-0.60591942
41.0;222.90992737;-159.50013733;0.01672955;-0.62107706
42.0;245.49624634;-181.34585571;0.01862870;-0.63622397
43.0;274.36343384;-209.16250610;0.02105706;-0.65136194
44.0;312.51181030;-245.81947327;0.02426797;-0.66651207
45.0;365.23818970;-296.36224365;0.02870791;-0.68166679
46.0;442.81555176;-370.56948853;0.03524258;-0.69680917
47.0;568.11242676;-490.24612427;0.04580049;-0.71195775
48.0;804.54565430;-715.81866455;0.06572809;-0.72710526
49.0;1417.19055176;-1299.89880371;0.11737437;-0.74225676
50.0;6786.25195312;-6416.55468750;0.57003498;-0.75740409
51.0;-2310.42553711;2251.81396484;0.19691508;2.36904097
52.0;-965.29339600;969.74572754;0.08351336;2.35389352
53.0;-601.25854492;622.61541748;0.05282845;2.33874607
54.0;-431.83032227;460.94192505;0.03855108;2.32359791
55.0;-333.90213013;367.41171265;0.03030210;2.30844975
56.0;-270.11514282;306.42346191;0.02493176;2.29330111
57.0;-225.27336121;263.49707031;0.02115894;2.27814960
58.0;-192.04142761;231.63810730;0.01836500;2.26300621
59.0;-166.42593384;207.04614258;0.01621350;2.24785662
60.0;-146.08865356;187.49050903;0.01450720;2.23271203
61.0;-129.54510498;171.55690002;0.01312095;2.21756268
62.0;-115.83126831;158.32859802;0.01197360;2.20240903
63.0;-104.27960205;147.16346741;0.01100857;2.18726897
64.0;-94.41586304;137.61824036;0.01018631;2.17211246
65.0;-85.89387512;129.35151672;0.00947709;2.15697455
66.0;-78.46089935;122.13397980;0.00886016;2.14182210
67.0;-71.91853333;115.76963806;0.00831846;2.12667346
68.0;-66.11597443;110.11669922;0.00783940;2.11152267
69.0;-60.93561935;105.06150055;0.00741296;2.09637976
70.0;-56.28016281;100.51264954;0.00703104;2.08123231
71.0;-52.07372284;96.39795685;0.00668725;2.06608081
72.0;-48.25448990;92.65737915;0.00637631;2.05093265
