Frequency;Real;Imaginary;Amplitude;Angle
0.0;49036.00000000;0.00000000;2.99291992;0.00000000
1.0;85.05676270;1.30224609;0.00519206;0.01530912
2.0;85.13659668;2.60205078;0.00519875;0.03055374
3.0;85.28515625;3.92553711;0.00521090;0.04599591
4.0;85.46875000;5.24499512;0.00522641;0.06129054
5.0;85.72369385;6.57739258;0.00524754;0.07657778
6.0;86.03555298;7.94104004;0.00527351;0.09203874
7.0;86.40561676;9.31607628;0.00530434;0.10740305
8.0;86.83306885;10.70947266;0.00534003;0.12271433
9.0;87.33119202;12.13391113;0.00538148;0.13805746
10.0;87.89575195;13.58648682;0.00542844;0.15336126
11.0;88.52478027;15.08053589;0.00548096;0.16873403
12.0;89.22833252;16.61285400;0.00553965;0.18407598
13.0;90.00875854;18.18542480;0.00560470;0.19935691
14.0;90.87341309;19.82066154;0.00567687;0.21474959
15.0;91.82083130;21.50460815;0.00575595;0.23005544
16.0;92.86039734;23.25878906;0.00584283;0.24542142
17.0;94.00112915;25.08038330;0.00593808;0.26073563
18.0;95.24169922;26.98304749;0.00604188;0.27607661
19.0;96.60247803;28.97967529;0.00615574;0.29144666
20.0;98.08328247;31.06881714;0.00627968;0.30676073
21.0;99.70287323;33.27260208;0.00641529;0.32209635
22.0;101.46820068;35.60192871;0.00656328;0.33744773
23.0;103.39930725;38.06939697;0.00672515;0.35277677
24.0;105.50723267;40.69433594;0.00690205;0.36811996
25.0;107.81616211;43.49582672;0.00709590;0.38345620
26.0;110.35102844;46.49777222;0.00730879;0.39878553
27.0;113.13286591;49.72865295;0.00754272;0.41413796
28.0;116.19955444;53.21702957;0.00780066;0.42946994
29.0;119.58560181;57.00096130;0.00808568;0.44479704
30.0;123.34127808;61.13073730;0.00840205;0.46013963
31.0;127.52099609;65.65640259;0.00875432;0.47547066
32.0;132.18994141;70.64773560;0.00914821;0.49081936
33.0;137.43472290;76.18658447;0.00959101;0.50617486
34.0;143.35888672;82.36953735;0.01009140;0.52151012
35.0;150.09588623;89.33028412;0.01066085;0.53684920
36.0;157.81478882;97.23164368;0.01131367;0.55218267
37.0;166.73538208;106.29150391;0.01206870;0.56752783
38.0;177.14935303;116.79223633;0.01295072;0.58287609
39.0;189.45587158;129.11668396;0.01399352;0.59821069
40.0;204.20257568;143.80447388;0.01524394;0.61355561
41.0;222.18089294;161.62088013;0.01676920;0.62889868
42.0;244.56163025;183.70294189;0.01866889;0.64423794
43.0;273.16317749;211.81878662;0.02109781;0.65957832
44.0;310.96185303;248.86180115;0.02430927;0.67492193
45.0;363.20538330;299.93240356;0.02874993;0.69027162
46.0;440.07348633;374.90512085;0.03528542;0.70560467
47.0;564.22021484;495.81036377;0.04584436;0.72095180
48.0;798.48376465;723.68615723;0.06577364;0.73629886
49.0;1405.50976562;1313.68945312;0.11742310;0.75164360
50.0;6725.25341797;6482.09667969;0.57010430;0.76698953
51.0;-2287.88378906;-2273.90991211;0.19688052;-2.35925770
52.0;-955.09680176;-978.84716797;0.08347217;-2.34391427
53.0;-594.40014648;-628.18725586;0.05278503;-2.32856584
54.0;-426.52536011;-464.85830688;0.03850622;-2.31321716
55.0;-329.49523926;-370.35919189;0.03025602;-2.29787159
56.0;-266.29150391;-308.72888184;0.02488444;-2.28252649
57.0;-221.85884094;-265.34835815;0.02111067;-2.26716757
58.0;-188.92881775;-233.14147949;0.01831554;-2.25182319
59.0;-163.54762268;-208.27793884;0.01616309;-2.23647070
60.0;-143.39279175;-188.49736023;0.01445551;-2.22111988
61.0;-126.99911499;-172.37626648;0.01306813;-2.20576668
62.0;-113.41007233;-158.98474121;0.01191953;-2.19041896
63.0;-101.95896912;-147.67857361;0.01095315;-2.17505789
64.0;-92.18487549;-138.00358582;0.01012945;-2.15971375
65.0;-83.73590851;-129.62380981;0.00941882;-2.14434862
66.0;-76.36888123;-122.29914856;0.00880035;-2.12899518
67.0;-69.88204193;-115.83590698;0.00825701;-2.11362767
68.0;-64.13019562;-110.08876038;0.00777623;-2.09827256
